# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
32	-8.8225359327e-01	-3.1530457793e-01	-5.6694901535e-01	1.6598490054e-01	0.0000000000e+00	-1.0700537359e+00	3.1455554677e-01	-2.0131713181e-01
33	-8.6704394108e-01	-3.0987115298e-01	-5.5717278810e-01	1.6295608611e-01	0.0000000000e+00	-1.0516064944e+00	3.0912704391e-01	-1.9764359144e-01
34	-8.5173876485e-01	-3.0430091160e-01	-5.4743785325e-01	1.6024707305e-01	0.0000000000e+00	-1.0330433951e+00	3.0392117706e-01	-1.9435792668e-01
35	-8.3602611696e-01	-2.9849258235e-01	-5.3753353461e-01	1.5779480595e-01	0.0000000000e+00	-1.0139860882e+00	2.9880119033e-01	-1.9138365988e-01
36	-8.2205783341e-01	-2.9298520797e-01	-5.2907262544e-01	1.5664893297e-01	0.0000000000e+00	-9.9704445809e-01	2.9510927184e-01	-1.8999387164e-01
37	-8.0768509176e-01	-2.8760465397e-01	-5.2008043779e-01	1.5480412781e-01	0.0000000000e+00	-9.7961227531e-01	2.9059472978e-01	-1.8775637364e-01
38	-7.9349362766e-01	-2.8228638054e-01	-5.1120724712e-01	1.5304551371e-01	0.0000000000e+00	-9.6239995756e-01	2.8615108322e-01	-1.8562341368e-01
39	-7.8049127295e-01	-2.7742197912e-01	-5.0306929383e-01	1.5154864790e-01	0.0000000000e+00	-9.4662986795e-01	2.8205914339e-01	-1.8380791883e-01
40	-7.6887118438e-01	-2.7290385623e-01	-4.9596732815e-01	1.5077348567e-01	0.0000000000e+00	-9.3253627934e-01	2.7882933990e-01	-1.8286775237e-01
41	-7.5779370327e-01	-2.6857162985e-01	-4.8922207342e-01	1.5020625772e-01	0.0000000000e+00	-9.1910079987e-01	2.7581305446e-01	-1.8217978194e-01
42	-7.4780793041e-01	-2.6453525661e-01	-4.8327267380e-01	1.5018124219e-01	0.0000000000e+00	-9.0698941416e-01	2.7342177148e-01	-1.8214944149e-01
43	-7.3812950887e-01	-2.6073570232e-01	-4.7739380655e-01	1.4997273309e-01	0.0000000000e+00	-8.9525080385e-01	2.7082263028e-01	-1.8189654829e-01
44	-7.2900574842e-01	-2.5732957133e-01	-4.7167617709e-01	1.4949131585e-01	0.0000000000e+00	-8.8418492208e-01	2.6793325721e-01	-1.8131265459e-01
45	-7.1925410933e-01	-2.5368787352e-01	-4.6556623581e-01	1.4878130931e-01	0.0000000000e+00	-8.7235750883e-01	2.6484795287e-01	-1.8045151313e-01
46	-7.1093414972e-01	-2.5047410448e-01	-4.6046004524e-01	1.4840374818e-01	0.0000000000e+00	-8.6226652827e-01	2.6248242595e-01	-1.7999358277e-01
