# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
1	-6.8893726796e+01	-1.6140393926e+01	-5.2753332870e+01	4.3404884376e+01	1.5026412388e-17	-8.9364504682e+01	4.5766173679e+01	-5.6302020132e+01
2	-3.7067511991e+00	-1.0557865147e+00	-2.6509646844e+00	2.1082267399e+00	2.4443359449e-19	-4.8081588890e+00	1.9939727122e+00	-2.7346559278e+00
3	-1.3910576702e+00	-4.1377409510e-01	-9.7728357513e-01	6.5749450549e-01	-1.1944916531e-18	-1.8043904063e+00	7.0438685005e-01	-8.5285952070e-01
4	-1.0420955427e+00	-3.2550452593e-01	-7.1659101678e-01	4.0397711670e-01	2.0557345757e-19	-1.3517392125e+00	4.8885811356e-01	-5.2401309402e-01
5	-8.9329089361e-01	-2.8465928452e-01	-6.0863160909e-01	3.2885807454e-01	2.3383231864e-20	-1.1587194068e+00	4.0496540572e-01	-4.2657351124e-01
6	-8.4075225414e-01	-2.6457284167e-01	-5.7617941247e-01	3.1962419981e-01	-9.6250675573e-20	-1.0905696679e+00	3.8950821349e-01	-4.1459592374e-01
7	-8.3895889729e-01	-2.6521516263e-01	-5.7374373466e-01	3.1852295403e-01	-5.8693151409e-19	-1.0882434409e+00	3.8566071503e-01	-4.1316745864e-01
8	-8.3667707941e-01	-2.6532441589e-01	-5.7135266352e-01	3.1787096289e-01	-7.0119280284e-19	-1.0852836137e+00	3.8253530954e-01	-4.1232173773e-01
9	-8.3121038493e-01	-2.6561724766e-01	-5.6559313727e-01	3.1458424401e-01	-2.0172600812e-19	-1.0781925698e+00	3.7496986200e-01	-4.0805841771e-01
10	-8.2874597534e-01	-2.6768528124e-01	-5.6106069410e-01	3.1167449583e-01	-3.0135739525e-19	-1.0749958964e+00	3.6671926607e-01	-4.0428407981e-01
11	-8.2910147745e-01	-2.7043792654e-01	-5.5866355091e-01	3.0682408108e-01	-1.5313666464e-18	-1.0754570308e+00	3.6028203047e-01	-3.9799243422e-01
12	-8.3472722881e-01	-2.7406571424e-01	-5.6066151457e-01	3.0397986352e-01	-8.2080781793e-19	-1.0827543931e+00	3.5824475041e-01	-3.9430309841e-01
13	-8.4842123488e-01	-2.8057818998e-01	-5.6784304490e-01	3.0272254909e-01	-5.7711873254e-19	-1.1005173757e+00	3.5908106864e-01	-3.9267219112e-01
14	-8.6132099929e-01	-2.8622828180e-01	-5.7509271749e-01	3.0239797334e-01	-1.0203916268e-18	-1.1172501192e+00	3.6108054461e-01	-3.9225117237e-01
15	-8.7404638575e-01	-2.9140226477e-01	-5.8264412098e-01	3.0301033355e-01	-1.1516741136e-18	-1.1337566708e+00	3.6405232027e-01	-3.9304548659e-01
