# Time           	e423_0           
1	( -8.9364504682e+01 4.5766173679e+01 -5.6302020132e+01 )	
2	( -4.8081588890e+00 1.9939727122e+00 -2.7346559278e+00 )	
3	( -1.8043904063e+00 7.0438685005e-01 -8.5285952070e-01 )	
4	( -1.3517392125e+00 4.8885811356e-01 -5.2401309402e-01 )	
5	( -1.1587194068e+00 4.0496540572e-01 -4.2657351124e-01 )	
6	( -1.0905696679e+00 3.8950821349e-01 -4.1459592374e-01 )	
7	( -1.0882434409e+00 3.8566071503e-01 -4.1316745864e-01 )	
8	( -1.0852836137e+00 3.8253530954e-01 -4.1232173773e-01 )	
9	( -1.0781925698e+00 3.7496986200e-01 -4.0805841771e-01 )	
10	( -1.0749958964e+00 3.6671926607e-01 -4.0428407981e-01 )	
11	( -1.0754570308e+00 3.6028203047e-01 -3.9799243422e-01 )	
12	( -1.0827543931e+00 3.5824475041e-01 -3.9430309841e-01 )	
13	( -1.1005173757e+00 3.5908106864e-01 -3.9267219112e-01 )	
14	( -1.1172501192e+00 3.6108054461e-01 -3.9225117237e-01 )	
15	( -1.1337566708e+00 3.6405232027e-01 -3.9304548659e-01 )	
16	( -1.1491265490e+00 3.6749468247e-01 -3.9449571474e-01 )	
17	( -1.1645056076e+00 3.7137138180e-01 -3.9666371352e-01 )	
18	( -1.1796161855e+00 3.7501700304e-01 -3.9835730909e-01 )	
19	( -1.1961487644e+00 3.7953276817e-01 -4.0092674487e-01 )	
20	( -1.2140130594e+00 3.8477326122e-01 -4.0414781976e-01 )	
21	( -1.2325867633e+00 3.9030685589e-01 -4.0762993621e-01 )	
22	( -1.2519544147e+00 3.9613664042e-01 -4.1143105692e-01 )	
23	( -1.2720184131e+00 4.0232917230e-01 -4.1555508362e-01 )	
24	( -1.2927056684e+00 4.0870491805e-01 -4.1973703650e-01 )	
25	( -1.3137186734e+00 4.1529368950e-01 -4.2389196379e-01 )	
26	( -1.3349115230e+00 4.2179850944e-01 -4.2792892008e-01 )	
27	( -1.3559595474e+00 4.2823509187e-01 -4.3179921325e-01 )	
28	( -1.3773752787e+00 4.3494349628e-01 -4.3603984992e-01 )	
29	( -1.3987989948e+00 4.4148134232e-01 -4.3987383238e-01 )	
30	( -1.4191190275e+00 4.4730250938e-01 -4.4273051913e-01 )	
31	( -1.4377058587e+00 4.5228730542e-01 -4.4460231495e-01 )	
32	( -1.4546956444e+00 4.5655394709e-01 -4.4541000126e-01 )	
33	( -1.4698486667e+00 4.6002286263e-01 -4.4546204763e-01 )	
34	( -1.4830203096e+00 4.6257712202e-01 -4.4458253468e-01 )	
35	( -1.4948345562e+00 4.6462850407e-01 -4.4314355518e-01 )	
36	( -1.5045318476e+00 4.6586845679e-01 -4.4078800452e-01 )	
37	( -1.5124831057e+00 4.6638439274e-01 -4.3778633461e-01 )	
38	( -1.5190576631e+00 4.6618608767e-01 -4.3409346639e-01 )	
39	( -1.5247670348e+00 4.6571426953e-01 -4.3026283069e-01 )	
40	( -1.5294463658e+00 4.6498712974e-01 -4.2623851778e-01 )	
41	( -1.5338885781e+00 4.6428588435e-01 -4.2238312693e-01 )	
42	( -1.5381927441e+00 4.6357297968e-01 -4.1852400769e-01 )	
43	( -1.5425103613e+00 4.6291127059e-01 -4.1477466199e-01 )	
44	( -1.5467976567e+00 4.6231640193e-01 -4.1111708328e-01 )	
45	( -1.5510158919e+00 4.6177340725e-01 -4.0759147271e-01 )	
46	( -1.5551997712e+00 4.6130269150e-01 -4.0419231968e-01 )	
47	( -1.5594813644e+00 4.6097950172e-01 -4.0106368775e-01 )	
48	( -1.5638880912e+00 4.6076442318e-01 -3.9809131439e-01 )	
49	( -1.5682287044e+00 4.6054961895e-01 -3.9514622103e-01 )	
50	( -1.5726111905e+00 4.6039879932e-01 -3.9227318690e-01 )	
51	( -1.5772775057e+00 4.6041680379e-01 -3.8962774324e-01 )	
52	( -1.5821353125e+00 4.6054453125e-01 -3.8710631634e-01 )	
53	( -1.5870682456e+00 4.6072809867e-01 -3.8467681249e-01 )	
54	( -1.5919382711e+00 4.6093114690e-01 -3.8224708684e-01 )	
55	( -1.5968596885e+00 4.6115287682e-01 -3.7987603921e-01 )	
56	( -1.6018759459e+00 4.6141233522e-01 -3.7750106113e-01 )	
57	( -1.6070859888e+00 4.6175885434e-01 -3.7523720430e-01 )	
58	( -1.6123049865e+00 4.6216168129e-01 -3.7303591982e-01 )	
59	( -1.6175747300e+00 4.6259539274e-01 -3.7089567380e-01 )	
60	( -1.6228781620e+00 4.6304946827e-01 -3.6877960355e-01 )	
61	( -1.6282621966e+00 4.6355946259e-01 -3.6677029635e-01 )	
62	( -1.6336762185e+00 4.6411371966e-01 -3.6481891709e-01 )	
63	( -1.6390901849e+00 4.6469747832e-01 -3.6293472401e-01 )	
64	( -1.6445090908e+00 4.6528446360e-01 -3.6104697095e-01 )	
65	( -1.6497459700e+00 4.6582386214e-01 -3.5911190565e-01 )	
66	( -1.6549529968e+00 4.6638457456e-01 -3.5720536902e-01 )	
67	( -1.6602182534e+00 4.6697219120e-01 -3.5537067307e-01 )	
68	( -1.6651417704e+00 4.6747748971e-01 -3.5345953070e-01 )	
