# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
1	-4.5741202600e+01	-1.0140689302e+01	-3.5600513298e+01	2.3982307510e+01	2.7983144404e-17	-5.9332357863e+01	3.1824779996e+01	-3.1108208152e+01
2	-2.1068548232e+00	-6.1564801924e-01	-1.4912068040e+00	1.0135043595e+00	-7.0101769796e-18	-2.7328679009e+00	1.0944484809e+00	-1.3146484993e+00
3	-9.4055171246e-01	-2.8699671513e-01	-6.5355499733e-01	2.9262168823e-01	4.7869431330e-19	-1.2200193178e+00	4.5819785275e-01	-3.7956882937e-01
4	-7.9849021754e-01	-2.3137204129e-01	-5.6711817624e-01	2.0691875220e-01	1.8914908209e-19	-1.0357468681e+00	4.1968266868e-01	-2.6840084555e-01
5	-7.0023990418e-01	-2.0487750826e-01	-4.9536239592e-01	1.7383547025e-01	-6.3150275910e-20	-9.0830328508e-01	3.6310610957e-01	-2.2548747615e-01
6	-6.7907241753e-01	-1.9939073866e-01	-4.7968167888e-01	1.7294557656e-01	-4.0350658580e-19	-8.8084626992e-01	3.5036367528e-01	-2.2433316695e-01
7	-6.9133551925e-01	-2.0668041191e-01	-4.8465510734e-01	1.8032970570e-01	-7.3054198483e-19	-8.9675312628e-01	3.4746836928e-01	-2.3391135396e-01
8	-6.9382980029e-01	-2.1172849093e-01	-4.8210130937e-01	1.7790002802e-01	-9.3890733325e-19	-8.9998853697e-01	3.3796602305e-01	-2.3075974233e-01
9	-7.0247135960e-01	-2.1792751485e-01	-4.8454384475e-01	1.7640631287e-01	-1.1234943687e-18	-9.1119777634e-01	3.3327041238e-01	-2.2882219726e-01
10	-6.9635921285e-01	-2.1685828184e-01	-4.7950093101e-01	1.7709555360e-01	-1.0299012572e-18	-9.0326951784e-01	3.2830331147e-01	-2.2971623318e-01
11	-6.8568743962e-01	-2.1405145075e-01	-4.7163598887e-01	1.7594742707e-01	-5.9379249606e-19	-8.8942682390e-01	3.2198067265e-01	-2.2822696200e-01
12	-6.8101371188e-01	-2.1366780170e-01	-4.6734591017e-01	1.7336416684e-01	-2.8223778640e-19	-8.8336438410e-01	3.1709763559e-01	-2.2487613361e-01
13	-6.8631489235e-01	-2.1671996264e-01	-4.6959492971e-01	1.7171220551e-01	-4.3066326722e-19	-8.9024071264e-01	3.1609370884e-01	-2.2273332242e-01
14	-6.9569832129e-01	-2.2075064798e-01	-4.7494767330e-01	1.7160102771e-01	-4.4148379118e-19	-9.0241225453e-01	3.1774628165e-01	-2.2258911019e-01
15	-7.0481648080e-01	-2.2432745820e-01	-4.8048902260e-01	1.7172447590e-01	-4.6114114505e-19	-9.1423970708e-01	3.2020195550e-01	-2.2274923873e-01
16	-7.1432042808e-01	-2.2796538079e-01	-4.8635504728e-01	1.7220702494e-01	-4.7619454503e-19	-9.2656757712e-01	3.2298708312e-01	-2.2337516833e-01
17	-7.2347930337e-01	-2.3134840555e-01	-4.9213089782e-01	1.7280950621e-01	-4.9550150995e-19	-9.3844784339e-01	3.2597811534e-01	-2.2415666580e-01
18	-7.3347697480e-01	-2.3490233056e-01	-4.9857464424e-01	1.7376474700e-01	-5.0899915984e-19	-9.5141613861e-01	3.2959039210e-01	-2.2539573879e-01
19	-7.4391108793e-01	-2.3855678093e-01	-5.0535430700e-01	1.7498819473e-01	-5.2529319856e-19	-9.6495055614e-01	3.3349690759e-01	-2.2698271146e-01
20	-7.5524651536e-01	-2.4242700190e-01	-5.1281951347e-01	1.7650248750e-01	-5.3652944644e-19	-9.7965409690e-01	3.3799063947e-01	-2.2894694841e-01
21	-7.6721141050e-01	-2.4644885377e-01	-5.2076255674e-01	1.7831754407e-01	-5.5119394473e-19	-9.9517414010e-01	3.4289212871e-01	-2.3130131559e-01
22	-7.7964199985e-01	-2.5059599619e-01	-5.2904600367e-01	1.8017780910e-01	-5.6185571734e-19	-1.0112982500e+00	3.4806250935e-01	-2.3371432409e-01
23	-7.9195592662e-01	-2.5476173693e-01	-5.3719418969e-01	1.8192513701e-01	-5.7683082507e-19	-1.0272710331e+00	3.5304056595e-01	-2.3598083828e-01
24	-8.0372093610e-01	-2.5877887110e-01	-5.4494206501e-01	1.8346371049e-01	-5.8846044104e-19	-1.0425317983e+00	3.5770399238e-01	-2.3797657051e-01
25	-8.1550387696e-01	-2.6281657871e-01	-5.5268729824e-01	1.8501747779e-01	-6.0470782443e-19	-1.0578158228e+00	3.6233839941e-01	-2.3999201113e-01
26	-8.2732320322e-01	-2.6689703701e-01	-5.6042616621e-01	1.8645575926e-01	-6.1768479870e-19	-1.0731470441e+00	3.6691141150e-01	-2.4185765142e-01
27	-8.3929347125e-01	-2.7104904798e-01	-5.6824442327e-01	1.8796334475e-01	-6.3472675113e-19	-1.0886740566e+00	3.7149421911e-01	-2.4381318815e-01
28	-8.5087299397e-01	-2.7510804421e-01	-5.7576494976e-01	1.8930541122e-01	-6.4816007799e-19	-1.1036942211e+00	3.7582113194e-01	-2.4555402494e-01
29	-8.6094416970e-01	-2.7878770780e-01	-5.8215646190e-01	1.9015428802e-01	-6.6520006092e-19	-1.1167578610e+00	3.7921094263e-01	-2.4665512983e-01
30	-8.6967537165e-01	-2.8211113708e-01	-5.8756423456e-01	1.9048822777e-01	-6.7863880635e-19	-1.1280833787e+00	3.8181637185e-01	-2.4708829362e-01
31	-8.7789762863e-01	-2.8528023783e-01	-5.9261739080e-01	1.9068468515e-01	-6.9559333094e-19	-1.1387487278e+00	3.8417144121e-01	-2.4734312469e-01
32	-8.8542199906e-01	-2.8823132643e-01	-5.9719067263e-01	1.9071679155e-01	-7.0850897866e-19	-1.1485088262e+00	3.8619918276e-01	-2.4738477092e-01
33	-8.9211187632e-01	-2.9094815123e-01	-6.0116372509e-01	1.9046895944e-01	-7.2491907203e-19	-1.1571864772e+00	3.8776946732e-01	-2.4706330007e-01
34	-8.9839350726e-01	-2.9355877313e-01	-6.0483473413e-01	1.8993767666e-01	-7.3747071284e-19	-1.1653345790e+00	3.8909495125e-01	-2.4637415641e-01
35	-9.0366559473e-01	-2.9584586979e-01	-6.0781972493e-01	1.8921161937e-01	-6.1554989706e-19	-1.1721731701e+00	3.8996731893e-01	-2.4543236457e-01
36	-9.0797554632e-01	-2.9784507334e-01	-6.1013047298e-01	1.8814092895e-01	-2.2310871356e-19	-1.1777637444e+00	3.9035674955e-01	-2.4404353823e-01
37	-9.1191588769e-01	-2.9975379160e-01	-6.1216209609e-01	1.8688368538e-01	1.0770812764e-19	-1.1828748855e+00	3.9051038062e-01	-2.4241272790e-01
38	-9.1546381049e-01	-3.0151509718e-01	-6.1394871331e-01	1.8556555033e-01	-7.2809594212e-20	-1.1874770082e+00	3.9054202016e-01	-2.4070293331e-01
39	-9.1887687850e-01	-3.0321656001e-01	-6.1566031850e-01	1.8432370514e-01	-8.0777208813e-20	-1.1919042065e+00	3.9055469811e-01	-2.3909209672e-01
40	-9.2228671801e-01	-3.0489316763e-01	-6.1739355037e-01	1.8307743293e-01	-9.4378422139e-20	-1.1963272169e+00	3.9062547843e-01	-2.3747551769e-01
41	-9.2580263083e-01	-3.0658711969e-01	-6.1921551114e-01	1.8191438154e-01	-1.0385078425e-19	-1.2008878184e+00	3.9078548932e-01	-2.3596688702e-01
42	-9.2922633360e-01	-3.0823990843e-01	-6.2098642517e-01	1.8062926623e-01	-3.9687292934e-19	-1.2053288114e+00	3.9093314593e-01	-2.3429992338e-01
43	-9.3235237541e-01	-3.0978322155e-01	-6.2256915386e-01	1.7930150954e-01	-6.3490813854e-19	-1.2093836989e+00	3.9098241538e-01	-2.3257764827e-01
44	-9.3563862488e-01	-3.1135670796e-01	-6.2428191692e-01	1.7803250552e-01	-8.0448392076e-19	-1.2136463968e+00	3.9115651120e-01	-2.3093158309e-01
45	-9.3897211389e-01	-3.1293900694e-01	-6.2603310696e-01	1.7685970105e-01	-9.5886673728e-19	-1.2179703707e+00	3.9136762503e-01	-2.2941030138e-01
46	-9.4232591240e-01	-3.1451693091e-01	-6.2780898148e-01	1.7569256666e-01	-8.8483226809e-19	-1.2223206886e+00	3.9161506321e-01	-2.2789637453e-01
47	-9.4573145119e-01	-3.1609346009e-01	-6.2963799110e-01	1.7462780616e-01	-8.9599249630e-19	-1.2267381204e+00	3.9193066377e-01	-2.2651524007e-01
48	-9.4918364926e-01	-3.1767389688e-01	-6.3150975238e-01	1.7358480733e-01	-9.0453902246e-19	-1.2312160755e+00	3.9229481937e-01	-2.2516233336e-01
