# Time           	e423_0           
1	1.7158694674e+01	
2	1.0124133291e+00	
3	1.6092368673e-01	
4	3.0909807178e-02	
5	-2.0347141528e-02	
6	-4.2980671249e-02	
7	-3.6459617539e-02	
8	-1.0782813942e-02	
9	1.5478826335e-02	
10	3.8228521686e-02	
11	5.6547837385e-02	
12	6.7650458302e-02	
13	7.1400374098e-02	
14	7.2496877125e-02	
15	7.2562332539e-02	
16	7.2504647511e-02	
17	7.3556016637e-02	
18	7.5412159553e-02	
19	7.7820565370e-02	
20	7.9502876708e-02	
21	7.9302485095e-02	
22	8.0290759955e-02	
23	8.2454092892e-02	
24	8.5045733986e-02	
25	8.8024457556e-02	
26	9.1206492253e-02	
27	9.3208490671e-02	
28	9.4862460106e-02	
29	9.7010735442e-02	
30	9.9903432605e-02	
31	1.0361507229e-01	
32	1.0703204296e-01	
33	1.0993814434e-01	
34	1.1221968055e-01	
35	1.1499260839e-01	
36	1.1754995076e-01	
37	1.2039127773e-01	
38	1.2285628371e-01	
39	1.2446453474e-01	
40	1.2560877665e-01	
41	1.2593480019e-01	
42	1.2571722328e-01	
43	1.2512415227e-01	
44	1.2388983757e-01	
45	1.2374317005e-01	
46	1.2380458864e-01	
47	1.2412267793e-01	
48	1.2412350756e-01	
49	1.2408455884e-01	
50	1.2415948852e-01	
51	1.2521095364e-01	
52	1.2572446903e-01	
53	1.2631334668e-01	
54	1.2723718198e-01	
55	1.2832508647e-01	
56	1.2869596586e-01	
57	1.2929202965e-01	
58	1.3009932372e-01	
59	1.3094253880e-01	
60	1.3171488096e-01	
61	1.3250858915e-01	
62	1.3330267273e-01	
63	1.3391789720e-01	
64	1.3414933101e-01	
65	1.3408532039e-01	
66	1.3454508463e-01	
67	1.3506124881e-01	
68	1.3506059803e-01	
69	1.3522220934e-01	
70	1.3546392512e-01	
71	1.3587746515e-01	
72	1.3596963815e-01	
73	1.3615995068e-01	
74	1.3617094866e-01	
75	1.3574861158e-01	
76	1.3545902602e-01	
77	1.3538083141e-01	
78	1.3530690832e-01	
79	1.3501950246e-01	
80	1.3469957630e-01	
81	1.3454309656e-01	
82	1.3411002081e-01	
83	1.3360004695e-01	
84	1.3312509221e-01	
85	1.3308062266e-01	
86	1.3284788337e-01	
87	1.3272125815e-01	
88	1.3256602671e-01	
89	1.3243798295e-01	
90	1.3212346359e-01	
91	1.3210720018e-01	
92	1.3202386778e-01	
93	1.3199327239e-01	
94	1.3201112887e-01	
95	1.3212475245e-01	
96	1.3203158279e-01	
97	1.3202188953e-01	
98	1.3203003714e-01	
99	1.3177952762e-01	
100	1.3172531945e-01	
101	1.3179018104e-01	
102	1.3179548109e-01	
103	1.3188238500e-01	
104	1.3170370334e-01	
105	1.3160182324e-01	
106	1.3194150007e-01	
107	1.3195454648e-01	
108	1.3158119401e-01	
109	1.3158161057e-01	
110	1.3168024814e-01	
111	1.3153141789e-01	
112	1.3133091617e-01	
113	1.3107695888e-01	
114	1.3111478153e-01	
115	1.3099830972e-01	
116	1.3065680123e-01	
117	1.3028131838e-01	
118	1.3022130396e-01	
119	1.3009383436e-01	
120	1.2980649083e-01	
121	1.2978737746e-01	
122	1.2958239825e-01	
123	1.2947258367e-01	
124	1.2943553832e-01	
125	1.2946063067e-01	
126	1.2936570808e-01	
127	1.2928631208e-01	
128	1.2926620892e-01	
129	1.2914493577e-01	
130	1.2902980247e-01	
131	1.2893083840e-01	
132	1.2869719564e-01	
133	1.2870308218e-01	
134	1.2880525643e-01	
135	1.2864450423e-01	
136	1.2861872998e-01	
137	1.2867145742e-01	
138	1.2847309253e-01	
139	1.2843078023e-01	
140	1.2846887373e-01	
141	1.2849563646e-01	
142	1.2858998594e-01	
143	1.2878879068e-01	
144	1.2894531239e-01	
145	1.2917932287e-01	
146	1.2923214972e-01	
147	1.2931851333e-01	
148	1.2956790252e-01	
149	1.2972529058e-01	
150	1.2992544074e-01	
151	1.3023016839e-01	
152	1.3051048807e-01	
153	1.3076946721e-01	
154	1.3100051839e-01	
155	1.3130233311e-01	
156	1.3161731220e-01	
157	1.3194969803e-01	
158	1.3216356391e-01	
159	1.3234433500e-01	
160	1.3262384883e-01	
161	1.3294533972e-01	
162	1.3322457800e-01	
163	1.3349330593e-01	
164	1.3371190743e-01	
165	1.3387936845e-01	
166	1.3409144319e-01	
167	1.3429353529e-01	
168	1.3449865056e-01	
