# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
33	8.5561765806e-02	8.1706188447e-02	3.8555773591e-03	1.0993814434e-01	8.7187335244e-19	1.1098441742e-01	9.7313263860e-02	-1.4260365932e-01
34	8.7564021117e-02	8.2298212011e-02	5.2658091055e-03	1.1221968055e-01	8.6931677680e-19	1.1358159546e-01	9.6290503632e-02	-1.4556309996e-01
35	9.1247328236e-02	8.3591501151e-02	7.6558270851e-03	1.1499260839e-01	8.6747175110e-19	1.1835931003e-01	9.4919592583e-02	-1.4915993761e-01
36	9.4317012009e-02	8.4669443993e-02	9.6475680159e-03	1.1754995076e-01	8.6338322516e-19	1.2234107761e-01	9.3777344972e-02	-1.5247713368e-01
37	9.8553789610e-02	8.6214856587e-02	1.2338933023e-02	1.2039127773e-01	8.6046400660e-19	1.2783671330e-01	9.2344904455e-02	-1.5616269364e-01
38	1.0163899405e-01	8.7288194490e-02	1.4350799564e-02	1.2285628371e-01	8.5217744299e-19	1.3183861315e-01	9.1171743657e-02	-1.5936011776e-01
39	1.0281949992e-01	8.7691098710e-02	1.5128401207e-02	1.2446453474e-01	8.4773558154e-19	1.3336987836e-01	9.0703371879e-02	-1.6144622247e-01
40	1.0274159289e-01	8.7615800084e-02	1.5125792808e-02	1.2560877665e-01	8.4299941103e-19	1.3326882311e-01	9.0612509095e-02	-1.6293044875e-01
41	1.0055083030e-01	8.6654323237e-02	1.3896507064e-02	1.2593480019e-01	8.3917175994e-19	1.3042712732e-01	9.0947270216e-02	-1.6335334247e-01
42	9.7556715487e-02	8.5297894800e-02	1.2258820687e-02	1.2571722328e-01	8.3377873031e-19	1.2654338222e-01	9.1298842642e-02	-1.6307111774e-01
43	9.4208683011e-02	8.3812548496e-02	1.0396134515e-02	1.2512415227e-01	8.2964813793e-19	1.2220056121e-01	9.1770517476e-02	-1.6230182972e-01
44	9.0437258835e-02	8.2192649698e-02	8.2446091376e-03	1.2388983757e-01	8.2438005436e-19	1.1730854770e-01	9.2435050700e-02	-1.6070076766e-01
45	8.9681685054e-02	8.1679524268e-02	8.0021607852e-03	1.2374317005e-01	8.2099351556e-19	1.1632847307e-01	9.2096704354e-02	-1.6051052136e-01
46	8.8683710387e-02	8.1050929839e-02	7.6327805473e-03	1.2380458864e-01	8.1732978963e-19	1.1503397387e-01	9.1772686615e-02	-1.6059018902e-01
47	8.7857055950e-02	8.0525362243e-02	7.3316937072e-03	1.2412267793e-01	8.1573615165e-19	1.1396169865e-01	9.1492085670e-02	-1.6100279101e-01
48	8.6843005066e-02	8.0032567057e-02	6.8104380096e-03	1.2412350756e-01	8.1311618149e-19	1.1264634657e-01	9.1527661309e-02	-1.6100386715e-01
49	8.5937077843e-02	7.9588133430e-02	6.3489444128e-03	1.2408455884e-01	8.1178346079e-19	1.1147124454e-01	9.1548986271e-02	-1.6095334573e-01
50	8.4837466481e-02	7.8877210171e-02	5.9602563101e-03	1.2415948852e-01	8.0931036990e-19	1.1004490971e-01	9.1146192326e-02	-1.6105053899e-01
51	8.6315916033e-02	7.9222369687e-02	7.0935463459e-03	1.2521095364e-01	8.0781103899e-19	1.1196264552e-01	9.0161029176e-02	-1.6241442207e-01
52	8.6605821089e-02	7.9260309383e-02	7.3455117053e-03	1.2572446903e-01	8.0637396512e-19	1.1233868900e-01	8.9893497098e-02	-1.6308051639e-01
53	8.6938710303e-02	7.9188283432e-02	7.7504268705e-03	1.2631334668e-01	8.0544661692e-19	1.1277048835e-01	8.9297320702e-02	-1.6384436508e-01
54	8.7883407343e-02	7.9230808067e-02	8.6525992755e-03	1.2723718198e-01	8.0282881966e-19	1.1399587974e-01	8.8222760990e-02	-1.6504269615e-01
55	8.9367593266e-02	7.9563242936e-02	9.8043503294e-03	1.2832508647e-01	8.0138485583e-19	1.1592105634e-01	8.7198615758e-02	-1.6645384569e-01
56	8.8822802982e-02	7.9204907466e-02	9.6178955165e-03	1.2869596586e-01	7.9946974218e-19	1.1521439453e-01	8.6983764936e-02	-1.6693492310e-01
57	8.9074513139e-02	7.9019546736e-02	1.0054966403e-02	1.2929202965e-01	7.9776724743e-19	1.1554089440e-01	8.6205725416e-02	-1.6770809312e-01
58	8.9899078145e-02	7.9082587906e-02	1.0816490239e-02	1.3009932372e-01	7.9583850570e-19	1.1661045936e-01	8.5332622083e-02	-1.6875525550e-01
