# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
1	1.7041655612e+00	6.0657738766e-01	1.0975881735e+00	6.8090856999e-01	0.0000000000e+00	2.0669202766e+00	-6.1376348232e-01	-8.2584917917e-01
2	1.4972022141e-01	1.0760465660e-01	4.2115564811e-02	2.0495296436e-01	0.0000000000e+00	1.8159019787e-01	8.1861364739e-02	-2.4857997806e-01
3	6.7385800263e-03	4.2585948046e-02	-3.5847368020e-02	9.7876123578e-02	0.0000000000e+00	8.1729780308e-03	9.8041645082e-02	-1.1871038180e-01
4	6.5207905099e-03	3.7238037240e-02	-3.0717246730e-02	8.0763262204e-02	0.0000000000e+00	7.9088290667e-03	8.4944104962e-02	-9.7954816164e-02
5	1.8639910392e-02	4.0764780229e-02	-2.2124869837e-02	8.1624512875e-02	0.0000000000e+00	2.2607667718e-02	7.8612062582e-02	-9.8999395703e-02
6	2.2398003306e-02	4.2221630259e-02	-1.9823626953e-02	8.4316097770e-02	0.0000000000e+00	2.7165721597e-02	7.7556571515e-02	-1.0226392089e-01
7	2.6327723316e-02	4.3332498411e-02	-1.7004775095e-02	8.6312307675e-02	0.0000000000e+00	3.1931935723e-02	7.5421591883e-02	-1.0468505110e-01
8	3.2776917923e-02	4.5185961878e-02	-1.2409043955e-02	8.8302307218e-02	0.0000000000e+00	3.9753928729e-02	7.1993757290e-02	-1.0709864899e-01
9	3.9807535484e-02	4.7203395338e-02	-7.3958598534e-03	9.0310699626e-02	0.0000000000e+00	4.8281108439e-02	6.8249068989e-02	-1.0953455492e-01
10	4.5064914079e-02	4.8523196009e-02	-3.4582819297e-03	9.1760738377e-02	0.0000000000e+00	5.4657591256e-02	6.4976847423e-02	-1.1129325406e-01
11	4.9334121342e-02	4.9380787482e-02	-4.6666140595e-05	9.2829053352e-02	0.0000000000e+00	5.9835557093e-02	6.1784317029e-02	-1.1258897434e-01
12	5.2644625198e-02	4.9797936381e-02	2.8466888177e-03	9.3533637972e-02	0.0000000000e+00	6.3850746523e-02	5.8689059454e-02	-1.1344353934e-01
13	5.5119747128e-02	4.9802840853e-02	5.3169062750e-03	9.3859101545e-02	0.0000000000e+00	6.6852731670e-02	5.5607418222e-02	-1.1383828224e-01
14	5.8088931317e-02	4.9743109217e-02	8.3458220994e-03	9.4082902955e-02	0.0000000000e+00	7.0453946919e-02	5.1746608897e-02	-1.1410972281e-01
15	6.0678163567e-02	4.9422129144e-02	1.1256034423e-02	9.4051689906e-02	0.0000000000e+00	7.3594332314e-02	4.7707618400e-02	-1.1407186564e-01
16	6.2249236680e-02	4.9110332638e-02	1.3138904042e-02	9.3960683690e-02	0.0000000000e+00	7.5499829613e-02	4.4964285746e-02	-1.1396148752e-01
17	6.5226152745e-02	4.8995251874e-02	1.6230900870e-02	9.3847067109e-02	0.0000000000e+00	7.9110422571e-02	4.0955438755e-02	-1.1382368611e-01
18	6.7546811071e-02	4.8287183861e-02	1.9259627210e-02	9.3182785255e-02	0.0000000000e+00	8.1925064446e-02	3.6284445813e-02	-1.1301800287e-01
19	7.1350833298e-02	4.8280695666e-02	2.3070137633e-02	9.2832732328e-02	0.0000000000e+00	8.6538824314e-02	3.1513197541e-02	-1.1259343644e-01
20	7.6396842671e-02	4.8582582974e-02	2.7814259698e-02	9.2585424553e-02	0.0000000000e+00	9.2658945109e-02	2.5960404095e-02	-1.1229348585e-01
21	8.1859512716e-02	4.8984155827e-02	3.2875356889e-02	9.2395783688e-02	0.0000000000e+00	9.9284418442e-02	2.0135998674e-02	-1.1206347736e-01
22	8.7788664544e-02	4.9618483062e-02	3.8170181482e-02	9.2381689455e-02	0.0000000000e+00	1.0647567052e-01	1.4310376974e-02	-1.1204638298e-01
23	9.2587409959e-02	4.9921344512e-02	4.2666065447e-02	9.2155420192e-02	0.0000000000e+00	1.1229589388e-01	9.0690988312e-03	-1.1177194924e-01
24	9.7040915936e-02	5.0207499981e-02	4.6833415954e-02	9.1952779868e-02	0.0000000000e+00	1.1769738891e-01	4.2176050336e-03	-1.1152617418e-01
25	1.0094564808e-01	5.0379526047e-02	5.0566122036e-02	9.1704032609e-02	0.0000000000e+00	1.2243329616e-01	-2.3324498643e-04	-1.1122447770e-01
26	1.0414572786e-01	5.0378292126e-02	5.3767435735e-02	9.1400062782e-02	0.0000000000e+00	1.2631455625e-01	-4.2364295114e-03	-1.1085580378e-01
