# y+ ()          
# Time           	patch            	min              	max              	average          
1                	Bottom	8.0059498947e+01	3.7637467844e+02	2.1129270570e+02
1                	Top	1.2099456816e+02	3.7009596639e+02	2.4469862241e+02
1                	e423_0	2.6433855469e+01	6.2343454033e+02	4.1060901021e+02
2                	Bottom	2.4074420494e+01	3.3689852686e+02	1.9091776838e+02
2                	Top	8.9440053876e+01	4.6723435140e+02	2.5940594623e+02
2                	e423_0	1.3443932420e+02	6.2880837743e+02	4.1353628608e+02
3                	Bottom	7.4724853008e+00	3.7913308337e+02	1.8273299904e+02
3                	Top	5.7981652965e+01	5.2481296795e+02	2.5699552762e+02
3                	e423_0	1.3018989528e+02	6.1726968877e+02	4.0967779922e+02
4                	Bottom	2.0384894598e+00	4.0023676339e+02	1.7405545469e+02
4                	Top	8.4597716869e+01	5.5511197812e+02	2.5989052292e+02
4                	e423_0	1.2647541127e+02	6.2089112830e+02	4.0633583160e+02
5                	Bottom	4.8919238560e+00	4.0406968124e+02	1.8983606671e+02
5                	Top	8.7352756206e+01	5.7529038133e+02	2.6318906658e+02
5                	e423_0	1.3486918584e+02	6.2143391006e+02	4.0291907358e+02
6                	Bottom	3.5888077955e+00	4.1745587139e+02	2.0682932062e+02
6                	Top	7.8059843816e+01	5.9276484468e+02	2.6563435662e+02
6                	e423_0	1.4426659735e+02	6.1774141654e+02	4.0015332434e+02
7                	Bottom	2.3545484689e+00	4.3013824183e+02	2.2077162287e+02
7                	Top	5.1287834058e+01	6.0798413105e+02	2.6593715322e+02
7                	e423_0	1.3526960957e+02	6.1219115934e+02	3.9781538937e+02
8                	Bottom	1.7181847135e+00	4.4050157704e+02	2.2943654521e+02
8                	Top	5.7221081700e+00	6.2005895383e+02	2.6529290291e+02
8                	e423_0	1.2609648586e+02	6.0752937113e+02	3.9580093517e+02
9                	Bottom	8.6243363218e+00	4.4997305633e+02	2.3453894950e+02
9                	Top	3.8621886509e+01	6.3182744911e+02	2.6851302054e+02
9                	e423_0	1.1707614184e+02	6.1305426264e+02	3.9398182017e+02
10               	Bottom	1.3726350541e+01	4.5845292086e+02	2.3395507655e+02
10               	Top	4.6891985152e+01	6.3664668184e+02	2.6966876789e+02
