# y+ ()          
# Time           	patch            	min              	max              	average          
1                	Bottom	4.8122934149e+01	2.6862981438e+02	1.4930232589e+02
1                	Top	6.7556727200e+01	2.7272046685e+02	1.7228276810e+02
1                	e423_0	1.3209539525e+02	6.0195610361e+02	4.4669781200e+02
2                	Bottom	1.9793682756e+01	2.3553516767e+02	1.2824083346e+02
2                	Top	5.5426455892e+01	3.1708547940e+02	1.8134643769e+02
2                	e423_0	6.3199331907e+01	6.4676610043e+02	4.3954951353e+02
3                	Bottom	2.1518087602e+01	2.3921480942e+02	1.2341308371e+02
3                	Top	5.6703934456e+01	3.6157917327e+02	1.8090059478e+02
3                	e423_0	4.3295738059e+01	6.2883729335e+02	4.3524377364e+02
4                	Bottom	1.7356780970e+01	2.6675156267e+02	1.2252373713e+02
4                	Top	6.0763860695e+01	3.9074752508e+02	1.8244098866e+02
4                	e423_0	4.0255993461e+01	6.2596178190e+02	4.3119554832e+02
5                	Bottom	4.4719891467e+00	2.8029349884e+02	1.3872233684e+02
5                	Top	6.2374536078e+01	4.1127918217e+02	1.8535660738e+02
5                	e423_0	4.2459060337e+01	6.2346101967e+02	4.2747882787e+02
6                	Bottom	1.4260122792e+01	2.9204519459e+02	1.5201117247e+02
6                	Top	1.8757094626e+01	4.2849133803e+02	1.8491624641e+02
6                	e423_0	4.6595479497e+01	6.2839318987e+02	4.2430794954e+02
7                	Bottom	1.4714574322e+01	3.0867622573e+02	1.6427339829e+02
7                	Top	2.9932991237e+01	4.4202469114e+02	1.8768831448e+02
7                	e423_0	5.1044717767e+01	6.3485810535e+02	4.2176333907e+02
8                	Bottom	7.5177209396e+00	3.2468739100e+02	1.7178708617e+02
8                	Top	3.6809339023e+01	4.5221234876e+02	1.9096773525e+02
8                	e423_0	5.5317337671e+01	6.4174605373e+02	4.1969670152e+02
9                	Bottom	1.0522964802e+01	3.4010309543e+02	1.7601464804e+02
9                	Top	4.0522385023e+01	4.6227085398e+02	1.9403388459e+02
9                	e423_0	5.9365486433e+01	6.4814485125e+02	4.1797540563e+02
10               	Bottom	1.6362504539e+01	3.5423694115e+02	1.7890753117e+02
10               	Top	4.2660985039e+01	4.6945981416e+02	1.9727180989e+02
10               	e423_0	6.3261819534e+01	6.5342355162e+02	4.1638863352e+02
11               	Bottom	1.5353347560e+01	3.6647694960e+02	1.8209798967e+02
11               	Top	4.7716373773e+01	4.7130779422e+02	1.9997308539e+02
11               	e423_0	6.6928550772e+01	6.5790228199e+02	4.1499072533e+02
12               	Bottom	1.7031485995e+01	3.7583796667e+02	1.8366069436e+02
12               	Top	5.6302765472e+01	4.6872531148e+02	2.0174652774e+02
12               	e423_0	7.0354993946e+01	6.6196472503e+02	4.1380131577e+02
13               	Bottom	2.0240622943e+01	3.8168963556e+02	1.8354358817e+02
13               	Top	6.5288557339e+01	4.6242683206e+02	2.0242057143e+02
13               	e423_0	7.3700598879e+01	6.6568082430e+02	4.1287115658e+02
14               	Bottom	2.2874880738e+01	3.8353642890e+02	1.8232334787e+02
14               	Top	7.4477083371e+01	4.5321970802e+02	2.0215921689e+02
14               	e423_0	7.6968543872e+01	6.6894486474e+02	4.1219866712e+02
15               	Bottom	2.4972272299e+01	3.8076081495e+02	1.8035576283e+02
15               	Top	7.4608590195e+01	4.4166537687e+02	2.0114335933e+02
15               	e423_0	8.0123531770e+01	6.7175158290e+02	4.1180381984e+02
16               	Bottom	2.6643558207e+01	3.7315148296e+02	1.7782314416e+02
16               	Top	6.3955536739e+01	4.2801098933e+02	1.9944089479e+02
16               	e423_0	8.3127330361e+01	6.7434673655e+02	4.1162617961e+02
17               	Bottom	2.7775353380e+01	3.6098184206e+02	1.7484268820e+02
17               	Top	5.2232199533e+01	4.1258616832e+02	1.9728051023e+02
17               	e423_0	8.5999646535e+01	6.7672924199e+02	4.1167479617e+02
18               	Bottom	2.5110297504e+01	3.4479935335e+02	1.7156610079e+02
18               	Top	3.7318241237e+01	3.9551930314e+02	1.9479591493e+02
18               	e423_0	8.8807789007e+01	6.7894892668e+02	4.1186782972e+02
19               	Bottom	1.3292444853e+01	3.2572301169e+02	1.6844403773e+02
19               	Top	3.7211470329e+00	3.7726573590e+02	1.9118394041e+02
19               	e423_0	9.1534081498e+01	6.8104698949e+02	4.1214877713e+02
20               	Bottom	2.9655271867e+01	3.0440098329e+02	1.6697048063e+02
20               	Top	3.8203347093e+01	3.5819327157e+02	1.9124629592e+02
20               	e423_0	9.4148153178e+01	6.8300956745e+02	4.1248625333e+02
21               	Bottom	2.9732639880e+01	2.8123492305e+02	1.6496062501e+02
21               	Top	5.3479358290e+01	3.3823830544e+02	1.9023025560e+02
21               	e423_0	9.6662936296e+01	6.8484569602e+02	4.1286855795e+02
22               	Bottom	2.9516713571e+01	2.6505860954e+02	1.6272105818e+02
22               	Top	6.5893641729e+01	3.1749820297e+02	1.8911060901e+02
22               	e423_0	9.9521868899e+01	6.8659820096e+02	4.1317300502e+02
23               	Bottom	2.8967234130e+01	2.6972005445e+02	1.6027362055e+02
23               	Top	6.3294669384e+01	2.9613268838e+02	1.8794500831e+02
23               	e423_0	1.0204821475e+02	6.8830129659e+02	4.1333049647e+02
24               	Bottom	2.8199252971e+01	2.7423373324e+02	1.5731359897e+02
24               	Top	5.2482513623e+01	2.9752699397e+02	1.8662454898e+02
24               	e423_0	1.0435938647e+02	6.8984248222e+02	4.1336731868e+02
25               	Bottom	2.3493915156e+01	2.7858202135e+02	1.5282040331e+02
25               	Top	3.7456919725e+01	3.0218022699e+02	1.8487922812e+02
25               	e423_0	1.0649231928e+02	6.9140828653e+02	4.1328856025e+02
26               	Bottom	2.5767207204e+01	2.8275107933e+02	1.5570195808e+02
26               	Top	7.3089602612e+00	3.0654663791e+02	1.8209276990e+02
26               	e423_0	1.0852121489e+02	6.9297641657e+02	4.1300195384e+02
27               	Bottom	2.3880047459e+01	2.8682578819e+02	1.5604972227e+02
27               	Top	4.1054678643e+01	3.1199422785e+02	1.8256917950e+02
27               	e423_0	1.1026165850e+02	6.9461086324e+02	4.1245186413e+02
28               	Bottom	9.9699577626e+00	2.9080425781e+02	1.5427666267e+02
28               	Top	5.8704870457e+01	3.1720457221e+02	1.8148440895e+02
28               	e423_0	1.1172316769e+02	6.9641601442e+02	4.1174690084e+02
29               	Bottom	1.8873588481e+01	2.9468590081e+02	1.5934771800e+02
29               	Top	4.7545135048e+01	3.2228649227e+02	1.8126400378e+02
29               	e423_0	1.1305144054e+02	6.9825325731e+02	4.1093881949e+02
30               	Bottom	1.5967397739e+01	2.9846457050e+02	1.6452908011e+02
30               	Top	4.8194467498e+01	3.2714221907e+02	1.8389153349e+02
30               	e423_0	1.1421603073e+02	7.0008202435e+02	4.1001861408e+02
31               	Bottom	1.2149067972e+01	3.0211627426e+02	1.6867124117e+02
31               	Top	3.1031153623e+01	3.3178218408e+02	1.8489058640e+02
31               	e423_0	1.1500204522e+02	7.0180976017e+02	4.0900145545e+02
32               	Bottom	5.1362878150e+00	3.0659428058e+02	1.7190467012e+02
32               	Top	2.1756934763e+01	3.3621176775e+02	1.8491271734e+02
32               	e423_0	1.1573896497e+02	7.0340586372e+02	4.0792279348e+02
33               	Bottom	8.4973144955e+00	3.1124322545e+02	1.7484578384e+02
33               	Top	4.4760410532e+01	3.4042383019e+02	1.9021519745e+02
33               	e423_0	1.1641937464e+02	7.0484301913e+02	4.0680009829e+02
34               	Bottom	7.7509617331e+00	3.1569172059e+02	1.7642119049e+02
34               	Top	5.8135226392e+01	3.4433422262e+02	1.9595383016e+02
34               	e423_0	1.1698147198e+02	7.0628181833e+02	4.0567026885e+02
35               	Bottom	8.4618510467e+00	3.1990406451e+02	1.8039853378e+02
35               	Top	4.6131630939e+01	3.4791705742e+02	2.0053843508e+02
35               	e423_0	1.1721599512e+02	7.0788905776e+02	4.0454081826e+02
36               	Bottom	5.2961693192e+00	3.2378846312e+02	1.8372416573e+02
36               	Top	2.6307645354e+01	3.5121110649e+02	2.0411962231e+02
36               	e423_0	1.1769340054e+02	7.0962547839e+02	4.0344459907e+02
37               	Bottom	3.0756398100e+00	3.2728922632e+02	1.8708559652e+02
37               	Top	3.0465715813e+01	3.5421413158e+02	2.0872488005e+02
37               	e423_0	1.1832233188e+02	7.1138556511e+02	4.0240016117e+02
38               	Bottom	2.1419443403e+00	3.3046100686e+02	1.9055819062e+02
38               	Top	5.2350514599e+01	3.5689046639e+02	2.1398926962e+02
38               	e423_0	1.1901898991e+02	7.1307781672e+02	4.0140664543e+02
39               	Bottom	1.6941971429e+00	3.3310423886e+02	1.9334625828e+02
39               	Top	6.2055055108e+01	3.5919747795e+02	2.1852912260e+02
39               	e423_0	1.1966655828e+02	7.1470500872e+02	4.0047931666e+02
40               	Bottom	1.5589501347e+00	3.3519296058e+02	1.9686847725e+02
40               	Top	4.7205354169e+01	3.6205130705e+02	2.2246280896e+02
40               	e423_0	1.2031390829e+02	7.1624605350e+02	3.9963095832e+02
41               	Bottom	1.5613421615e+00	3.3675128038e+02	2.0129473852e+02
41               	Top	1.8239092814e+01	3.6520249875e+02	2.2538050510e+02
41               	e423_0	1.2087617990e+02	7.1769300005e+02	3.9886275319e+02
42               	Bottom	5.0286194815e+00	3.3776554015e+02	2.0380945908e+02
42               	Top	4.2261274140e+01	3.6786490540e+02	2.3092708816e+02
42               	e423_0	1.2122477482e+02	7.1903256631e+02	3.9815939474e+02
43               	Bottom	1.0278520891e+01	3.4495291512e+02	2.0457964819e+02
43               	Top	3.3990017598e+01	3.7004600527e+02	2.3581847866e+02
43               	e423_0	1.2157319183e+02	7.2028435028e+02	3.9752899072e+02
44               	Bottom	2.2176939280e+01	3.6278818747e+02	2.1249578229e+02
44               	Top	3.5967580032e+01	3.7189430858e+02	2.4176519661e+02
44               	e423_0	1.2191812709e+02	7.2145542323e+02	3.9696848141e+02
45               	Bottom	3.5405188946e+01	3.8336697507e+02	2.1996300162e+02
45               	Top	6.2605235508e+01	3.7324753810e+02	2.4887122089e+02
45               	e423_0	1.2225042962e+02	7.2253278419e+02	3.9646959282e+02
46               	Bottom	1.8733102975e+01	4.0437894457e+02	2.2459071266e+02
46               	Top	6.5150890603e+01	3.7863751672e+02	2.5553497052e+02
46               	e423_0	1.2332461699e+02	7.2352072468e+02	3.9603614962e+02
47               	Bottom	3.9994545763e+01	4.2458891154e+02	2.3287668646e+02
47               	Top	6.3363635382e+01	3.9770856683e+02	2.6191055311e+02
47               	e423_0	1.2625442895e+02	7.2444799371e+02	3.9569968730e+02
48               	Bottom	5.2920163884e+01	4.4348979233e+02	2.4010070285e+02
48               	Top	6.1135881946e+01	4.1783075430e+02	2.6772032522e+02
48               	e423_0	1.2817568989e+02	7.2541270628e+02	3.9540304178e+02
49               	Bottom	5.7581716385e+01	4.6154419882e+02	2.4711388298e+02
49               	Top	5.8673295214e+01	4.3845602970e+02	2.7317248732e+02
49               	e423_0	1.2990235108e+02	7.2635201733e+02	3.9515921852e+02
50               	Bottom	5.3014397484e+01	4.7882662505e+02	2.5324567775e+02
50               	Top	5.6005994413e+01	4.6085292890e+02	2.7853022614e+02
50               	e423_0	1.3145011359e+02	7.2730164351e+02	3.9496290879e+02
51               	Bottom	4.6655276810e+01	4.9734644275e+02	2.5864450680e+02
51               	Top	5.3438215094e+01	4.8225293039e+02	2.8371034330e+02
51               	e423_0	1.3286804152e+02	7.2827621319e+02	3.9480850424e+02
52               	Bottom	2.8563364411e+01	5.1789795393e+02	2.6248740626e+02
52               	Top	4.9555841714e+01	5.0079306450e+02	2.8829008187e+02
52               	e423_0	1.3421437655e+02	7.2927690931e+02	3.9469142125e+02
53               	Bottom	5.5191359515e+01	5.3672943606e+02	2.6743344641e+02
53               	Top	4.6397614159e+01	5.2141427609e+02	2.9210411329e+02
53               	e423_0	1.3547179157e+02	7.3028923946e+02	3.9460649092e+02
54               	Bottom	6.0803389732e+01	5.5425880172e+02	2.7053791458e+02
54               	Top	4.4133659191e+01	5.4097397002e+02	2.9545394573e+02
54               	e423_0	1.3663580855e+02	7.3129797199e+02	3.9454850860e+02
55               	Bottom	6.1849535334e+01	5.7180825725e+02	2.7300944221e+02
55               	Top	4.2379985337e+01	5.5992103063e+02	2.9845136810e+02
55               	e423_0	1.3770609933e+02	7.3228857404e+02	3.9451537990e+02
56               	Bottom	6.2569349044e+01	5.8991781694e+02	2.7512194912e+02
56               	Top	4.1121210541e+01	5.7946262030e+02	3.0119316590e+02
56               	e423_0	1.3869649766e+02	7.3324693400e+02	3.9450261331e+02
57               	Bottom	6.2886312945e+01	6.0750404771e+02	2.7688418383e+02
57               	Top	4.0173737307e+01	5.9865109840e+02	3.0356732216e+02
57               	e423_0	1.3961033307e+02	7.3416270097e+02	3.9450654181e+02
58               	Bottom	6.2796040140e+01	6.2387517225e+02	2.7813048994e+02
58               	Top	3.9598128989e+01	6.1686016389e+02	3.0549025697e+02
58               	e423_0	1.4043900857e+02	7.3503132996e+02	3.9452492046e+02
59               	Bottom	6.2418609539e+01	6.3781272400e+02	2.7873219952e+02
59               	Top	3.9434566787e+01	6.3326585148e+02	3.0686258801e+02
59               	e423_0	1.4116164916e+02	7.3585013086e+02	3.9455494109e+02
60               	Bottom	6.1873338280e+01	6.4838115030e+02	2.7874176810e+02
60               	Top	3.9618453978e+01	6.4683507393e+02	3.0767704995e+02
60               	e423_0	1.4183028815e+02	7.3661274240e+02	3.9459365154e+02
61               	Bottom	6.1179503356e+01	6.5540290545e+02	2.7824661770e+02
61               	Top	4.0050174896e+01	6.5737513079e+02	3.0790823086e+02
61               	e423_0	1.4246629191e+02	7.3732325643e+02	3.9464008465e+02
62               	Bottom	6.0389761933e+01	6.5846482785e+02	2.7718699308e+02
62               	Top	4.0823337164e+01	6.6481990412e+02	3.0762332856e+02
62               	e423_0	1.4306346380e+02	7.3798222954e+02	3.9469308457e+02
63               	Bottom	5.9453975508e+01	6.5628640186e+02	2.7552413467e+02
63               	Top	4.1861064151e+01	6.6977441383e+02	3.0688068593e+02
63               	e423_0	1.4360789142e+02	7.3859150552e+02	3.9475226575e+02
64               	Bottom	5.8373102486e+01	6.5216375225e+02	2.7349375743e+02
64               	Top	4.3172090922e+01	6.7215783587e+02	3.0565036114e+02
64               	e423_0	1.4408649691e+02	7.3915453197e+02	3.9481751069e+02
65               	Bottom	5.4654429643e+01	6.4530500119e+02	2.7111932715e+02
65               	Top	4.4608421350e+01	6.7173686348e+02	3.0397008804e+02
65               	e423_0	1.4447081720e+02	7.3967510268e+02	3.9488802202e+02
66               	Bottom	5.0094712875e+01	6.3676728249e+02	2.6806480489e+02
66               	Top	4.6145374964e+01	6.6891467703e+02	3.0190880903e+02
66               	e423_0	1.4475161204e+02	7.4015417412e+02	3.9496199062e+02
67               	Bottom	4.1549873135e+01	6.2684062575e+02	2.6448183788e+02
67               	Top	4.8966090725e+01	6.6391448503e+02	2.9953827530e+02
67               	e423_0	1.4496879087e+02	7.4059353226e+02	3.9503782899e+02
68               	Bottom	3.5281457515e+01	6.1552470237e+02	2.6086163320e+02
68               	Top	5.2349275886e+01	6.5689518599e+02	2.9689481233e+02
68               	e423_0	1.4514807621e+02	7.4099737649e+02	3.9511483783e+02
69               	Bottom	4.7723708303e+01	6.0302738926e+02	2.5803077130e+02
69               	Top	5.3462805993e+01	6.4767236927e+02	2.9393877747e+02
69               	e423_0	1.4529541329e+02	7.4136281325e+02	3.9519217133e+02
70               	Bottom	4.6942398918e+01	5.9043117173e+02	2.5429365797e+02
70               	Top	5.4857524166e+01	6.3547789039e+02	2.9076053643e+02
70               	e423_0	1.4540813142e+02	7.4168975820e+02	3.9526900893e+02
71               	Bottom	4.5464384743e+01	5.7713702342e+02	2.5020882481e+02
71               	Top	5.6048888972e+01	6.2119696857e+02	2.8742382299e+02
71               	e423_0	1.4548288325e+02	7.4198024365e+02	3.9534473826e+02
72               	Bottom	4.3610121569e+01	5.6313206148e+02	2.4602140168e+02
72               	Top	5.7319593276e+01	6.0530894459e+02	2.8401117897e+02
72               	e423_0	1.4551914532e+02	7.4223642195e+02	3.9541847836e+02
73               	Bottom	3.9396013439e+01	5.4930287111e+02	2.4172902765e+02
73               	Top	5.8524636408e+01	5.8877728477e+02	2.8069313858e+02
73               	e423_0	1.4551914009e+02	7.4246025837e+02	3.9548982988e+02
74               	Bottom	2.6061029453e+01	5.3620326931e+02	2.3734149562e+02
74               	Top	5.9812349440e+01	5.7331106256e+02	2.7751540883e+02
74               	e423_0	1.4548652794e+02	7.4265359704e+02	3.9555844897e+02
75               	Bottom	1.7171703709e+01	5.2413351178e+02	2.3340022050e+02
75               	Top	6.0712978110e+01	5.5874563200e+02	2.7434232922e+02
75               	e423_0	1.4542497850e+02	7.4281818687e+02	3.9562427131e+02
76               	Bottom	2.9307501606e+01	5.1410255475e+02	2.3271155406e+02
76               	Top	6.1388721751e+01	5.4455451607e+02	2.7122048731e+02
76               	e423_0	1.4533820852e+02	7.4295567988e+02	3.9568734968e+02
77               	Bottom	3.0110997535e+01	5.0338483058e+02	2.3105536692e+02
77               	Top	6.1991442634e+01	5.3085397588e+02	2.6829346266e+02
77               	e423_0	1.4522957931e+02	7.4306800644e+02	3.9574782022e+02
78               	Bottom	2.0395113960e+01	4.9256752547e+02	2.2877563222e+02
78               	Top	6.2595342560e+01	5.1804673219e+02	2.6557747522e+02
78               	e423_0	1.4510310598e+02	7.4315670416e+02	3.9580594937e+02
79               	Bottom	1.1856002753e+01	4.8235624986e+02	2.2635044304e+02
79               	Top	6.3125881467e+01	5.0587408396e+02	2.6306587206e+02
79               	e423_0	1.4496230446e+02	7.4322304638e+02	3.9586200620e+02
80               	Bottom	6.3107292867e+00	4.7298031986e+02	2.2419223808e+02
80               	Top	6.3606235504e+01	4.9517735451e+02	2.6081177616e+02
80               	e423_0	1.4481089460e+02	7.4326842294e+02	3.9591629752e+02
81               	Bottom	3.6719470876e+00	4.6435388155e+02	2.2268233010e+02
81               	Top	6.4029410936e+01	4.8583390207e+02	2.5882271621e+02
81               	e423_0	1.4465264704e+02	7.4329448188e+02	3.9596911456e+02
82               	Bottom	2.3990982479e+00	4.5653637040e+02	2.2167858099e+02
82               	Top	6.4386215701e+01	4.7891502715e+02	2.5712406642e+02
82               	e423_0	1.4449120646e+02	7.4330297892e+02	3.9602074227e+02
83               	Bottom	1.8317824766e+00	4.4916670488e+02	2.2026075065e+02
83               	Top	6.4662797001e+01	4.7334935326e+02	2.5564856431e+02
83               	e423_0	1.4433008689e+02	7.4329588742e+02	3.9607139220e+02
84               	Bottom	1.6192962185e+00	4.4282914827e+02	2.1962236884e+02
