# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
1	1.5746849961e+01	7.6264708651e+00	8.1203790959e+00	1.3046093904e+01	6.7723506672e-17	2.0425640476e+01	-6.1738528847e-01	-1.6922420952e+01
2	-2.8978007281e-03	1.8819202195e-01	-1.9108982268e-01	8.0466544809e-01	-5.0616293937e-18	-3.7588111901e-03	4.7410230578e-01	-1.0437520639e+00
3	-1.6310695584e-01	1.3719514058e-02	-1.7682646989e-01	1.1588021691e-01	-1.3706565825e-19	-2.1157019005e-01	2.3818247994e-01	-1.5031118317e-01
4	-1.4952618427e-01	5.8830323708e-03	-1.5540921664e-01	1.9159013580e-02	1.2655269424e-18	-1.9395422508e-01	2.0161531127e-01	-2.4851644883e-02
5	-1.6134479056e-01	-3.9508911690e-03	-1.5739389939e-01	-9.8570906045e-03	9.7744268246e-19	-2.0928444055e-01	1.9180376027e-01	1.2785883483e-02
6	-2.3349331379e-01	-3.6145041380e-02	-1.9734827241e-01	-2.1525345513e-02	1.0804383308e-18	-3.0287012912e-01	2.0150403879e-01	2.7921074351e-02
7	-2.5285733427e-01	-4.4967872410e-02	-2.0788946186e-01	-1.4993772632e-02	3.2546151197e-19	-3.2798769368e-01	2.0365198681e-01	1.9448804676e-02
8	-2.3910149353e-01	-3.9997169986e-02	-1.9910432355e-01	1.8052559578e-03	5.0366382135e-20	-3.1014464202e-01	1.9888394195e-01	-2.3416435193e-03
9	-2.2226501321e-01	-3.3568695348e-02	-1.8869631786e-01	1.9641103283e-02	1.8231854254e-19	-2.8830561423e-01	1.9390952814e-01	-2.5476975726e-02
10	-2.0396232488e-01	-2.6299875998e-02	-1.7766244889e-01	3.3314105867e-02	1.9179720443e-19	-2.6456473066e-01	1.8920321611e-01	-4.3212575906e-02
11	-1.8419823485e-01	-1.8473893149e-02	-1.6572434170e-01	4.5740050752e-02	-5.2117943098e-20	-2.3892822568e-01	1.8406306068e-01	-5.9330585757e-02
12	-1.6881313085e-01	-1.2296635842e-02	-1.5651649501e-01	5.1393603924e-02	1.3465889800e-20	-2.1897181512e-01	1.8027482396e-01	-6.6663953686e-02
13	-1.6196683437e-01	-9.4148898197e-03	-1.5255194455e-01	5.3971640643e-02	2.3778407108e-19	-2.1009130944e-01	1.7892131841e-01	-7.0007990829e-02
14	-1.6088534107e-01	-8.9428845607e-03	-1.5194245651e-01	5.4631689213e-02	3.2477571346e-19	-2.0868847691e-01	1.7874946494e-01	-7.0864156654e-02
15	-1.5645730433e-01	-7.0988440060e-03	-1.4935846033e-01	5.4997174881e-02	2.6912523785e-19	-2.0294475759e-01	1.7782452040e-01	-7.1338237431e-02
16	-1.5455313628e-01	-6.3136589575e-03	-1.4823947732e-01	5.4968437293e-02	2.7051982984e-19	-2.0047481267e-01	1.7740727295e-01	-7.1300961173e-02
17	-1.5473289327e-01	-6.4705175683e-03	-1.4826237570e-01	5.5611248862e-02	2.6053982254e-19	-2.0070798004e-01	1.7723982266e-01	-7.2134768444e-02
18	-1.5471424312e-01	-6.5088727488e-03	-1.4820537037e-01	5.6013344404e-02	2.5664857480e-19	-2.0068378846e-01	1.7712062203e-01	-7.2656336821e-02
19	-1.5470244236e-01	-6.6076315661e-03	-1.4809481079e-01	5.6426104793e-02	2.5485290809e-19	-2.0066848139e-01	1.7685897403e-01	-7.3191738844e-02
20	-1.5424206046e-01	-6.4967904130e-03	-1.4774527005e-01	5.7029796235e-02	2.5961215909e-19	-2.0007130829e-01	1.7656059954e-01	-7.3974802401e-02
21	-1.5186657627e-01	-5.5347232691e-03	-1.4633185300e-01	5.8128165034e-02	2.6253412841e-19	-1.9699000720e-01	1.7599641217e-01	-7.5399524568e-02
22	-1.5061105328e-01	-5.0042100223e-03	-1.4560684326e-01	5.8696171160e-02	2.6811212067e-19	-1.9536143633e-01	1.7575329155e-01	-7.6136299793e-02
23	-1.5026527349e-01	-4.8204284999e-03	-1.4544484499e-01	5.9009204137e-02	2.7703600179e-19	-1.9491291655e-01	1.7578052061e-01	-7.6542342846e-02
24	-1.4945031645e-01	-4.4448187357e-03	-1.4500549772e-01	5.9333956082e-02	2.9982553490e-19	-1.9385581500e-01	1.7570084872e-01	-7.6963586872e-02
25	-1.4779966449e-01	-3.7109874304e-03	-1.4408867706e-01	6.0044054141e-02	3.0889733911e-19	-1.9171471227e-01	1.7547211204e-01	-7.7884673165e-02
26	-1.4667022020e-01	-3.1568618948e-03	-1.4351335830e-01	6.0502935524e-02	3.1980273494e-19	-1.9024968128e-01	1.7544562051e-01	-7.8479899904e-02
27	-1.4571059803e-01	-2.7763239173e-03	-1.4293427411e-01	6.1194268556e-02	3.2759240922e-19	-1.8900493090e-01	1.7519743774e-01	-7.9376645602e-02
28	-1.4461582357e-01	-2.4144688959e-03	-1.4220135468e-01	6.1940925928e-02	3.3670620554e-19	-1.8758487105e-01	1.7473360723e-01	-8.0345153911e-02
29	-1.4392320770e-01	-2.1886146741e-03	-1.4173459302e-01	6.2462844434e-02	3.4215544046e-19	-1.8668646135e-01	1.7443247294e-01	-8.1022147710e-02
30	-1.4379314514e-01	-2.1027074883e-03	-1.4169043765e-01	6.2595035881e-02	3.4848225594e-19	-1.8651775389e-01	1.7448466270e-01	-8.1193616605e-02
31	-1.4182267086e-01	-1.3778461181e-03	-1.4044482474e-01	6.3467518503e-02	3.5324161852e-19	-1.8396180147e-01	1.7383372328e-01	-8.2325336055e-02
32	-1.4076269259e-01	-1.0158802018e-03	-1.3974681239e-01	6.4142768097e-02	3.5769460996e-19	-1.8258687663e-01	1.7341366523e-01	-8.3201219515e-02
33	-1.4117235516e-01	-1.2974227718e-03	-1.3987493239e-01	6.4595649632e-02	3.5756971544e-19	-1.8311826040e-01	1.7322188702e-01	-8.3788663698e-02
34	-1.4076219384e-01	-1.2773676609e-03	-1.3948482618e-01	6.5278633892e-02	3.6092757002e-19	-1.8258622970e-01	1.7275932315e-01	-8.4674579991e-02
35	-1.3957848769e-01	-9.2241630569e-04	-1.3865607138e-01	6.6217326960e-02	3.6226903659e-19	-1.8105081427e-01	1.7216706885e-01	-8.5892182697e-02
36	-1.3917480867e-01	-8.6612986299e-04	-1.3830867881e-01	6.6986351976e-02	3.6482029683e-19	-1.8052719193e-01	1.7180318618e-01	-8.6889704648e-02
37	-1.3884361758e-01	-8.1841296006e-04	-1.3802520462e-01	6.7703161458e-02	3.6487560510e-19	-1.8009759553e-01	1.7150848958e-01	-8.7819496499e-02
38	-1.3807942255e-01	-5.9021380339e-04	-1.3748920875e-01	6.8443211885e-02	3.6631484026e-19	-1.7910633867e-01	1.7112374368e-01	-8.8779434772e-02
39	-1.3793530992e-01	-6.3340128412e-04	-1.3730190864e-01	6.9128336028e-02	3.6601890061e-19	-1.7891940651e-01	1.7083563419e-01	-8.9668126761e-02
40	-1.3749021976e-01	-5.5309078340e-04	-1.3693712898e-01	6.9849408438e-02	3.6714626772e-19	-1.7834206871e-01	1.7048004774e-01	-9.0603448165e-02
41	-1.3555494026e-01	9.3966364294e-05	-1.3564890662e-01	7.0928606450e-02	3.6719430055e-19	-1.7583176834e-01	1.6967859123e-01	-9.2003303415e-02
42	-1.3386414944e-01	5.8460909126e-04	-1.3444875853e-01	7.2004564682e-02	3.6865284165e-19	-1.7363860047e-01	1.6879170953e-01	-9.3398956265e-02
43	-1.3377466007e-01	4.3021805175e-04	-1.3420487813e-01	7.2598230932e-02	3.6701041435e-19	-1.7352252153e-01	1.6829387022e-01	-9.4169015890e-02
44	-1.3481415379e-01	-1.9214153530e-04	-1.3462201225e-01	7.2820262520e-02	3.6577642999e-19	-1.7487087533e-01	1.6803733840e-01	-9.4457018723e-02
45	-1.3436212737e-01	-2.7559129477e-04	-1.3408653607e-01	7.3488416492e-02	3.6375383154e-19	-1.7428454033e-01	1.6726368097e-01	-9.5323698271e-02
46	-1.3422653420e-01	-5.0349295350e-04	-1.3372304125e-01	7.3961617659e-02	3.6338563121e-19	-1.7410865899e-01	1.6652443537e-01	-9.5937499567e-02
47	-1.3387869897e-01	-6.7583311828e-04	-1.3320286586e-01	7.4565032658e-02	3.6307206307e-19	-1.7365747304e-01	1.6565879092e-01	-9.6720204543e-02
48	-1.3309380905e-01	-6.3112638845e-04	-1.3246268266e-01	7.5158251349e-02	3.6517335107e-19	-1.7263937231e-01	1.6478944534e-01	-9.7489683628e-02
49	-1.3120510154e-01	-9.0461910047e-05	-1.3111463963e-01	7.6166466363e-02	3.6608723126e-19	-1.7018948166e-01	1.6378022215e-01	-9.8797465023e-02
