# y+ ()          
# Time           	patch            	min              	max              	average          
25               	e423_0	4.1317825544e-01	1.4149255409e+02	5.1382912212e+00
26               	Bottom	4.3800665110e+00	7.4991184075e+01	4.4339040535e+01
26               	Top	9.2887087064e+00	7.9486934133e+01	5.3673160846e+01
26               	e423_0	1.9033410273e-01	1.4136727619e+02	5.1126504836e+00
27               	Bottom	2.1203385581e+00	7.3695793237e+01	4.4987562841e+01
27               	Top	1.2901756389e+00	7.7684620444e+01	5.2730627267e+01
27               	e423_0	4.7732528226e-01	1.4123889303e+02	5.0996004400e+00
28               	Bottom	4.2479499396e+00	7.2422254082e+01	4.5852263305e+01
28               	Top	9.7118405861e+00	7.5723137231e+01	5.2435492041e+01
28               	e423_0	2.8128637247e-01	1.4110407883e+02	5.0665917648e+00
29               	Bottom	5.3243697399e+00	7.1358142111e+01	4.6577124895e+01
29               	Top	1.3175875785e+01	7.3691258406e+01	5.2219615526e+01
29               	e423_0	2.9596004317e-01	1.4096420644e+02	5.0434611423e+00
30               	Bottom	3.8803216160e+00	7.1004219032e+01	4.7079880593e+01
30               	Top	1.3755005199e+01	7.3129349882e+01	5.2136744662e+01
30               	e423_0	2.0238272367e-01	1.4081685274e+02	5.0136265286e+00
31               	Bottom	3.8555637215e+00	7.1510696988e+01	4.7913257908e+01
31               	Top	1.0031172592e+01	7.4320257488e+01	5.2108519839e+01
31               	e423_0	3.0092876907e-01	1.4066169491e+02	4.9980993726e+00
32               	Bottom	2.8057507506e+00	7.2364151512e+01	4.8469443591e+01
32               	Top	5.2639470247e+00	7.5536311897e+01	5.2143416975e+01
32               	e423_0	2.9784921821e-01	1.4049892394e+02	4.9765544050e+00
33               	Bottom	2.9786707910e+00	7.3387725236e+01	4.9225468865e+01
33               	Top	3.8641586898e+00	7.6768000473e+01	5.2341109297e+01
33               	e423_0	1.6852953175e-01	1.4032881374e+02	4.9610268548e+00
34               	Bottom	1.9910752975e+00	7.4455950826e+01	4.9738913700e+01
34               	Top	5.7267703739e+00	7.8002056011e+01	5.2675227353e+01
34               	e423_0	3.7250703138e-01	1.4015261969e+02	4.9321105155e+00
35               	Bottom	9.8318176282e-01	7.5540604296e+01	5.0166243141e+01
35               	Top	4.8096868087e+00	7.9227692054e+01	5.2959262674e+01
35               	e423_0	1.8196180083e-01	1.3997068241e+02	4.9079244896e+00
36               	Bottom	1.8354532989e+00	7.6617471776e+01	5.0447201204e+01
36               	Top	3.8393507277e+00	8.0437252987e+01	5.3238914306e+01
36               	e423_0	2.7454395237e-01	1.3978353949e+02	4.8732909389e+00
37               	Bottom	2.2382251603e+00	7.7682195013e+01	5.0822727499e+01
37               	Top	8.8825155953e+00	8.1624458008e+01	5.3628763975e+01
37               	e423_0	3.0313248759e-01	1.3959165466e+02	4.8514262067e+00
38               	Bottom	2.8868593076e+00	7.8730989558e+01	5.1002443004e+01
38               	Top	1.1957169081e+01	8.2783708129e+01	5.3919536038e+01
38               	e423_0	1.1370939455e-01	1.3939665187e+02	4.8223756298e+00
39               	Bottom	3.6125822611e+00	7.9766683159e+01	5.0989150093e+01
39               	Top	1.2958888224e+01	8.3913018405e+01	5.4165905072e+01
39               	e423_0	3.4029922358e-01	1.3919792679e+02	4.8071665392e+00
40               	Bottom	4.2932297906e+00	8.0786320288e+01	5.0856753497e+01
