# y+ ()          
# Time           	patch            	min              	max              	average          
1                	Bottom	2.6882435767e+01	3.0551742951e+02	1.9142787898e+02
1                	Top	4.9100033045e+01	2.9426018386e+02	1.6318400055e+02
1                	e423_0	1.0882366778e+01	6.5109014915e+02	4.3948880868e+02
2                	Bottom	3.8534624177e+01	3.4477128226e+02	1.8527373499e+02
2                	Top	1.7655873167e+01	2.3343409731e+02	1.3635984428e+02
2                	e423_0	3.6123493699e+01	6.5725471985e+02	4.2690884045e+02
3                	Bottom	5.8560842745e+01	3.5269967450e+02	1.7521992016e+02
3                	Top	1.0523903426e+01	2.1954775062e+02	1.1421423646e+02
3                	e423_0	6.3564392578e+01	6.5482859278e+02	4.2156530927e+02
4                	Bottom	2.7636394707e+01	3.5113503461e+02	1.6156311889e+02
4                	Top	1.3890769372e+01	2.0804228537e+02	9.5141225910e+01
4                	e423_0	6.5058689190e+01	6.4446717812e+02	4.1322010275e+02
5                	Bottom	5.9255316980e+01	3.4737194548e+02	1.5213023829e+02
5                	Top	1.8902190326e+01	2.0565607307e+02	9.6855889327e+01
5                	e423_0	5.5067779719e+01	6.4377433192e+02	4.0496589748e+02
6                	Bottom	3.5936013714e+01	3.4527163670e+02	1.4194405716e+02
6                	Top	1.0327810009e+01	1.9334993185e+02	1.0399275614e+02
6                	e423_0	4.3919730930e+01	6.4497767099e+02	3.9636025056e+02
7                	Bottom	3.7977118041e+01	3.3934915220e+02	1.3392773525e+02
7                	Top	2.7593516218e+01	1.8545604165e+02	1.1000431883e+02
7                	e423_0	4.4371035086e+01	6.4617647255e+02	3.8788458468e+02
8                	Bottom	4.8130336174e+01	3.3041311920e+02	1.2716401311e+02
8                	Top	3.1562545298e+01	1.8562147683e+02	1.0867402977e+02
8                	e423_0	4.8213365979e+01	6.4809509668e+02	3.7905976460e+02
9                	Bottom	3.8917716904e+01	3.1733642948e+02	1.2158477477e+02
9                	Top	1.7465172783e+01	1.7428765433e+02	1.0230578078e+02
9                	e423_0	5.0846467485e+01	6.5132484220e+02	3.6978145841e+02
10               	Bottom	3.6272483845e+01	2.9925750137e+02	1.1707944478e+02
10               	Top	3.2405702260e+01	1.6648048703e+02	1.0205407368e+02
10               	e423_0	5.2769859740e+01	6.5537985360e+02	3.5994968859e+02
11               	Bottom	4.4905459034e+01	2.7477977057e+02	1.1371562109e+02
11               	Top	1.4948837857e+01	1.5756940513e+02	9.5480636878e+01
11               	e423_0	5.2711403599e+01	6.5954660872e+02	3.4944042896e+02
12               	Bottom	4.6552522652e+01	2.4809989502e+02	1.1008358648e+02
12               	Top	1.9231546251e+01	1.5031958938e+02	9.1085602898e+01
12               	e423_0	5.1339733729e+01	6.6339444799e+02	3.3840526131e+02
13               	Bottom	2.8254661165e+01	2.2372164231e+02	1.0610403414e+02
13               	Top	8.1339136236e+00	1.3865067389e+02	8.5512254918e+01
13               	e423_0	3.1784040385e+01	6.6661040419e+02	3.2641168383e+02
14               	Bottom	2.6552105978e+01	1.9974940391e+02	1.0216886538e+02
14               	Top	2.2912124603e+01	1.2551284162e+02	8.4130113830e+01
14               	e423_0	6.8765745518e+00	6.6901885246e+02	3.1393029111e+02
15               	Bottom	4.3870947516e+01	1.7596536113e+02	9.8615013618e+01
15               	Top	3.0888708139e+01	1.2168854874e+02	8.2574212723e+01
15               	e423_0	6.0800741067e+00	6.7060741484e+02	3.0847404964e+02
16               	Bottom	2.6842225987e+01	1.5364144270e+02	9.3972685045e+01
16               	Top	2.5576059303e+01	1.2020285735e+02	8.0598190106e+01
16               	e423_0	2.7744144677e+01	6.7139336486e+02	3.0426003983e+02
17               	Bottom	1.6946674311e+01	1.5016821056e+02	9.0639375028e+01
17               	Top	9.2696221534e+00	1.1959193439e+02	7.9413832602e+01
17               	e423_0	1.2481969378e+01	6.7169810722e+02	3.0053297272e+02
18               	Bottom	3.1691528233e+01	1.5209017528e+02	9.0366535444e+01
18               	Top	1.5042369125e+01	1.2497067678e+02	7.9995341234e+01
18               	e423_0	1.2799269510e+01	6.7172592131e+02	2.9859866491e+02
19               	Bottom	2.5188430379e+01	1.5421365229e+02	8.8885725097e+01
19               	Top	2.0328993716e+01	1.3116192258e+02	8.0717015574e+01
19               	e423_0	9.9110467418e+00	6.7147749967e+02	2.9697600762e+02
20               	Bottom	1.0002582268e+01	1.5631758768e+02	8.6917290239e+01
20               	Top	2.3957335161e+01	1.3438108385e+02	8.1338839615e+01
20               	e423_0	6.1249953338e+00	6.7120025781e+02	2.9732041056e+02
21               	Bottom	1.2029119833e+01	1.5847226062e+02	8.6631578213e+01
21               	Top	2.6237174130e+01	1.3598315367e+02	8.1906652585e+01
21               	e423_0	8.2312935156e+00	6.7093602161e+02	2.9860519946e+02
22               	Bottom	2.0527918254e+01	1.6067576545e+02	8.7744811646e+01
22               	Top	2.8373119342e+01	1.3572357184e+02	8.2469643773e+01
22               	e423_0	3.8073127194e+00	6.7078479891e+02	3.0061094527e+02
23               	Bottom	2.3298603908e+01	1.6287258669e+02	8.8586546397e+01
23               	Top	3.0596299056e+01	1.3443829750e+02	8.3020743805e+01
23               	e423_0	6.8370002939e+00	6.7075845230e+02	3.0270615233e+02
24               	Bottom	2.1133160512e+01	1.6509614161e+02	8.9615871334e+01
24               	Top	2.9661730096e+01	1.3291903411e+02	8.3597725232e+01
24               	e423_0	9.3965226126e+00	6.7081541589e+02	3.0446897572e+02
25               	Bottom	2.0055605801e+01	1.6734803790e+02	9.0844039214e+01
25               	Top	2.7260853125e+01	1.3074086565e+02	8.4109764365e+01
25               	e423_0	1.9515010157e+01	6.7093771246e+02	3.0723056981e+02
26               	Bottom	1.8922143847e+01	1.6959301301e+02	9.2270544103e+01
26               	Top	2.4431611998e+01	1.2828203284e+02	8.4544826820e+01
26               	e423_0	1.9468710246e+01	6.7110632282e+02	3.0940713885e+02
27               	Bottom	1.6972044868e+01	1.7181188967e+02	9.3779559013e+01
27               	Top	2.0944866885e+01	1.2938518678e+02	8.4917841892e+01
27               	e423_0	2.0917635684e+01	6.7131675185e+02	3.1114933649e+02
28               	Bottom	1.3811013091e+01	1.7392726227e+02	9.5241964812e+01
28               	Top	1.6782901567e+01	1.3123611204e+02	8.5296742823e+01
28               	e423_0	2.1578844419e+01	6.7156487523e+02	3.1264310807e+02
29               	Bottom	8.2625734453e+00	1.7598525364e+02	9.6382477936e+01
29               	Top	1.1893085088e+01	1.3316512474e+02	8.5680470156e+01
29               	e423_0	1.0564172022e+01	6.7182422748e+02	3.1372208486e+02
30               	Bottom	8.6898258524e+00	1.7876798323e+02	9.7592487297e+01
30               	Top	5.2508745995e+00	1.3516339313e+02	8.6213748341e+01
30               	e423_0	2.3067320412e+01	6.7210242481e+02	3.1475014511e+02
31               	Bottom	1.3390865738e+01	1.8139942033e+02	9.8657137744e+01
31               	Top	7.3287528662e+00	1.3716891695e+02	8.7408396225e+01
31               	e423_0	2.1360899295e+01	6.7240137928e+02	3.1527677846e+02
32               	Bottom	2.0581287502e+01	1.8383444701e+02	1.0053106759e+02
32               	Top	9.4115564044e+00	1.3916071566e+02	8.8726055634e+01
32               	e423_0	1.7836721852e+01	6.7272397794e+02	3.1586291864e+02
33               	Bottom	2.4650823901e+01	1.8607026234e+02	1.0267513664e+02
33               	Top	1.0445587156e+01	1.4109043633e+02	8.9989707845e+01
33               	e423_0	2.8262639996e+00	6.7307634369e+02	3.1591268335e+02
34               	Bottom	2.0465941481e+01	1.8811111929e+02	1.0433065266e+02
34               	Top	1.1422505936e+01	1.4293454861e+02	9.1286791149e+01
34               	e423_0	7.8406027981e+00	6.7346117579e+02	3.1626306134e+02
35               	Bottom	1.3940332925e+01	1.8994044221e+02	1.0538231129e+02
35               	Top	1.3433767560e+01	1.4465454248e+02	9.2750546315e+01
35               	e423_0	8.6957871731e+00	6.7387925922e+02	3.1653023310e+02
36               	Bottom	8.2822317266e+00	1.9154407556e+02	1.0580998427e+02
36               	Top	1.6752295599e+01	1.4619058252e+02	9.4382139848e+01
36               	e423_0	1.0687055926e+01	6.7432379178e+02	3.1673010697e+02
37               	Bottom	1.9325930677e+01	1.9283405104e+02	1.1023159628e+02
37               	Top	2.0877862881e+01	1.4786913900e+02	9.6217802341e+01
37               	e423_0	8.4545698040e+00	6.7483537305e+02	3.1646773789e+02
38               	Bottom	2.1678096797e+01	1.9381166818e+02	1.1341731918e+02
38               	Top	2.5586555809e+01	1.5162453065e+02	9.8176410342e+01
38               	e423_0	8.8597438836e+00	6.7539580775e+02	3.1617217391e+02
39               	Bottom	8.0086708212e+00	1.9446828791e+02	1.1568685686e+02
39               	Top	3.0665003641e+01	1.5868840718e+02	1.0017266863e+02
39               	e423_0	9.3901241883e+00	6.7600422783e+02	3.1564444583e+02
40               	Bottom	1.4323119890e+01	1.9471352928e+02	1.1959563543e+02
40               	Top	3.1914964173e+01	1.6605717696e+02	1.0219243523e+02
40               	e423_0	9.6531896271e+00	6.7666462863e+02	3.1478561881e+02
41               	Bottom	2.6078886054e+01	1.9454364451e+02	1.2402812210e+02
41               	Top	2.4557391337e+01	1.7401156754e+02	1.0409154850e+02
41               	e423_0	9.2575376077e+00	6.7738873589e+02	3.1338601760e+02
42               	Bottom	3.3413393466e+01	1.9481224278e+02	1.2790667407e+02
42               	Top	8.1086866176e+00	1.8278936440e+02	1.0546676939e+02
42               	e423_0	9.2035831443e+00	6.7814235356e+02	3.1124435417e+02
43               	Bottom	4.0458781338e+01	1.9468240629e+02	1.3150287170e+02
43               	Top	2.4161601478e+01	1.9225751771e+02	1.0855515940e+02
43               	e423_0	6.5316098444e+00	6.7894190866e+02	3.0867785850e+02
44               	Bottom	4.6726974439e+01	1.9409789122e+02	1.3496657904e+02
44               	Top	1.6404043909e+01	2.0208212006e+02	1.1106791213e+02
44               	e423_0	4.5677927482e+00	6.7978854858e+02	3.0646823881e+02
45               	Bottom	5.3280905604e+01	1.9298176119e+02	1.3841217532e+02
45               	Top	2.2718781775e+01	2.1206447829e+02	1.1479331635e+02
45               	e423_0	8.9206628433e+00	6.8068502159e+02	3.0396791961e+02
46               	Bottom	5.9701383269e+01	1.9308483973e+02	1.4177071181e+02
46               	Top	3.6426604982e+01	2.2191195214e+02	1.1878270924e+02
46               	e423_0	8.2975105137e+00	6.8161272957e+02	3.0094512603e+02
47               	Bottom	6.2320632868e+01	2.0674498508e+02	1.4505191678e+02
47               	Top	4.6606853636e+01	2.3142582599e+02	1.2217291808e+02
47               	e423_0	7.4418903069e+00	6.8257258328e+02	2.9789659048e+02
48               	Bottom	6.1182127937e+01	2.2035483839e+02	1.4816512153e+02
48               	Top	5.5958673510e+01	2.4040809992e+02	1.2546334268e+02
48               	e423_0	7.0791241015e+00	6.8357028975e+02	2.9426773213e+02
49               	Bottom	5.9908697028e+01	2.3314146952e+02	1.5094575957e+02
49               	Top	6.1564054156e+01	2.4853934142e+02	1.2848569539e+02
49               	e423_0	4.7798124746e+00	6.8458941177e+02	2.9019172619e+02
50               	Bottom	5.8478990993e+01	2.4428313098e+02	1.5334773763e+02
50               	Top	4.8020198629e+01	2.5725863020e+02	1.3103659058e+02
50               	e423_0	7.6033640825e+00	6.8561414526e+02	2.8673571339e+02
51               	Bottom	5.6904117820e+01	2.5626946668e+02	1.5528462724e+02
51               	Top	2.4923761078e+01	2.6683593357e+02	1.3278112462e+02
51               	e423_0	7.2426489491e-01	6.8659599244e+02	2.8355891279e+02
52               	Bottom	5.5146579660e+01	2.6913088955e+02	1.5664307015e+02
52               	Top	3.2746518162e+01	2.7619493167e+02	1.3581436623e+02
52               	e423_0	1.0995472861e+01	6.8753581587e+02	2.9062068953e+02
53               	Bottom	5.3951319767e+01	2.8113657206e+02	1.5755854200e+02
53               	Top	5.1250759619e+01	2.8557871170e+02	1.3913698670e+02
53               	e423_0	1.0115495926e+01	6.8847879485e+02	2.9483597994e+02
54               	Bottom	5.2706332025e+01	2.9281547342e+02	1.5804049947e+02
54               	Top	6.3577104894e+01	2.9497061438e+02	1.4171038489e+02
54               	e423_0	7.3798935627e+00	6.8939890910e+02	2.9607589882e+02
55               	Bottom	5.1363012393e+01	3.0406995221e+02	1.5805571315e+02
55               	Top	5.4890425211e+01	3.0369806524e+02	1.4373791451e+02
55               	e423_0	7.2861545439e+00	6.9026159084e+02	2.9779368106e+02
56               	Bottom	5.0148659164e+01	3.1477101923e+02	1.5761548426e+02
56               	Top	3.5837032870e+01	3.1157017396e+02	1.4507117047e+02
56               	e423_0	7.9802419718e+00	6.9108572037e+02	2.9844145231e+02
57               	Bottom	4.8968451061e+01	3.2485739698e+02	1.5664718931e+02
57               	Top	2.1314040450e+01	3.1842981926e+02	1.4626722331e+02
57               	e423_0	8.1081372163e+00	6.9186230022e+02	2.9787845264e+02
58               	Bottom	4.7930426066e+01	3.3348622131e+02	1.5510036246e+02
58               	Top	4.7906793662e+01	3.2417800378e+02	1.4926965671e+02
58               	e423_0	9.8663452350e+00	6.9258204992e+02	2.9664303132e+02
59               	Bottom	4.7007929706e+01	3.4064223679e+02	1.5301085526e+02
59               	Top	6.3769699215e+01	3.2876211252e+02	1.5109316063e+02
59               	e423_0	7.4909677197e+00	6.9326105462e+02	2.9520846960e+02
60               	Bottom	4.5997691055e+01	3.4660520644e+02	1.5037397906e+02
60               	Top	5.3130145408e+01	3.3231515082e+02	1.5209350937e+02
60               	e423_0	9.2710482246e+00	6.9386943863e+02	2.9416377033e+02
61               	Bottom	4.5059858278e+01	3.5158725794e+02	1.4730061106e+02
61               	Top	3.2066814264e+01	3.3475978896e+02	1.5225191270e+02
61               	e423_0	9.6593914768e+00	6.9443805790e+02	2.9341546466e+02
62               	Bottom	4.4075664739e+01	3.5569108249e+02	1.4324943684e+02
62               	Top	2.6865058891e+01	3.3603895795e+02	1.5268801568e+02
62               	e423_0	1.0849009689e+01	6.9498241962e+02	2.9299448309e+02
63               	Bottom	4.3158199784e+01	3.5892474578e+02	1.3819155455e+02
63               	Top	4.7864671699e+01	3.3626449005e+02	1.5410240685e+02
63               	e423_0	1.1534842876e+01	6.9548929642e+02	2.9262474570e+02
64               	Bottom	3.8049932738e+01	3.6129533773e+02	1.3352734594e+02
64               	Top	6.0804815910e+01	3.3563902342e+02	1.5472410461e+02
64               	e423_0	1.1105226755e+01	6.9596891795e+02	2.9230926641e+02
65               	Bottom	1.6906481282e+01	3.6285197405e+02	1.2716873224e+02
65               	Top	6.0400949280e+01	3.3435327796e+02	1.5498558138e+02
65               	e423_0	9.1814147717e+00	6.9643176516e+02	2.9201477402e+02
66               	Bottom	2.0489134113e+01	3.6362575451e+02	1.2590087404e+02
66               	Top	4.6067909234e+01	3.3260778040e+02	1.5473449136e+02
66               	e423_0	8.1998836300e+00	6.9687122592e+02	2.9164744548e+02
67               	Bottom	2.8653544239e+01	3.6369176007e+02	1.2555798988e+02
67               	Top	2.2727243622e+01	3.3060077718e+02	1.5361683097e+02
67               	e423_0	6.6290038693e+00	6.9727790707e+02	2.9121714496e+02
68               	Bottom	3.2175946112e+01	3.6314830066e+02	1.2538771318e+02
68               	Top	3.3145814771e+01	3.2845986872e+02	1.5405415290e+02
68               	e423_0	4.9190413529e+00	6.9766999491e+02	2.9077570045e+02
69               	Bottom	4.0929870453e+01	3.6216965325e+02	1.2562873025e+02
69               	Top	5.1618776168e+01	3.2632677557e+02	1.5466158528e+02
69               	e423_0	2.9198804439e+00	6.9804198596e+02	2.9046082314e+02
70               	Bottom	3.4531453639e+01	3.6096393146e+02	1.2507648775e+02
70               	Top	6.1456541862e+01	3.2424623094e+02	1.5470958402e+02
70               	e423_0	1.9692647023e+00	6.9839031076e+02	2.9012764970e+02
71               	Bottom	2.3322233977e+01	3.5966152431e+02	1.2335322790e+02
71               	Top	4.7531241498e+01	3.2223134618e+02	1.5430651408e+02
71               	e423_0	3.1043341246e+00	6.9871476816e+02	2.9002075175e+02
72               	Bottom	2.3305379086e+01	3.5827347057e+02	1.2381212281e+02
72               	Top	2.6675133078e+01	3.2017493304e+02	1.5318291094e+02
72               	e423_0	4.6986636126e+00	6.9901553125e+02	2.9009299514e+02
73               	Bottom	2.1145780823e+01	3.5699664941e+02	1.2472065044e+02
73               	Top	3.0154407005e+01	3.1793887957e+02	1.5309194516e+02
73               	e423_0	2.6150413574e+00	6.9929187049e+02	2.9022033785e+02
74               	Bottom	2.2179851311e+01	3.5554104830e+02	1.2472344547e+02
74               	Top	4.9915343565e+01	3.1560229533e+02	1.5360323132e+02
74               	e423_0	3.8014504874e+00	6.9954523950e+02	2.9045919337e+02
75               	Bottom	2.5265475995e+01	3.5378836245e+02	1.2501550640e+02
75               	Top	5.8283233413e+01	3.1304052869e+02	1.5349314776e+02
75               	e423_0	1.6969794061e+00	6.9977486543e+02	2.9055365857e+02
76               	Bottom	1.7682056834e+01	3.5196756023e+02	1.2454079940e+02
76               	Top	4.2402660567e+01	3.1023616878e+02	1.5288758430e+02
76               	e423_0	3.1751177937e+00	6.9997803363e+02	2.9083180440e+02
77               	Bottom	3.3889746590e+01	3.4973494277e+02	1.2631984992e+02
77               	Top	1.0612552751e+01	3.0730059431e+02	1.5099086719e+02
77               	e423_0	4.7341515020e+00	7.0015890362e+02	2.9100030936e+02
78               	Bottom	3.8713183546e+01	3.4705661087e+02	1.2703373026e+02
78               	Top	3.9831927740e+01	3.0416888584e+02	1.5192151423e+02
78               	e423_0	2.6449132355e+00	7.0031892341e+02	2.9108846684e+02
79               	Bottom	4.2069465803e+01	3.4388223554e+02	1.2625631962e+02
79               	Top	5.7396564829e+01	3.0041093895e+02	1.5171507552e+02
79               	e423_0	2.0897911199e+00	7.0045736854e+02	2.9114233685e+02
80               	Bottom	7.0716165325e+00	3.3974480194e+02	1.2421432784e+02
80               	Top	4.3410754516e+01	2.9490313186e+02	1.5074936448e+02
80               	e423_0	3.2744759598e+00	7.0057873523e+02	2.9127723425e+02
81               	Bottom	4.9685623641e+01	3.3418232577e+02	1.2683528513e+02
81               	Top	1.4115336742e+01	2.8752755884e+02	1.4835358980e+02
81               	e423_0	4.5896939265e+00	7.0068365091e+02	2.9138090412e+02
82               	Bottom	5.4406424885e+01	3.2733138993e+02	1.2716857312e+02
82               	Top	4.0118248827e+01	2.8002756508e+02	1.4788900059e+02
82               	e423_0	4.8107306998e+00	7.0077412399e+02	2.9146423206e+02
83               	Bottom	4.1458611395e+01	3.1837395715e+02	1.2591976811e+02
83               	Top	5.5774232932e+01	2.7120906228e+02	1.4760451876e+02
83               	e423_0	4.6690006360e+00	7.0085147282e+02	2.9154420881e+02
84               	Bottom	3.0444419499e+01	3.0695812970e+02	1.2413349013e+02
84               	Top	3.4311418440e+01	2.6194437833e+02	1.4592933390e+02
84               	e423_0	4.5908531132e+00	7.0091610213e+02	2.9162152627e+02
85               	Bottom	4.0496656732e+01	2.9312654623e+02	1.2352785130e+02
85               	Top	2.6568321304e+01	2.5085521160e+02	1.4398686115e+02
85               	e423_0	4.7163140614e+00	7.0096993051e+02	2.9168907563e+02
86               	Bottom	2.5909919297e+01	2.7733601147e+02	1.1914812990e+02
86               	Top	4.3428389900e+01	2.3707571491e+02	1.4265458159e+02
86               	e423_0	4.8843146759e+00	7.0101361904e+02	2.9173058354e+02
87               	Bottom	2.0529891874e+01	2.4430625099e+02	1.1669484341e+02
87               	Top	2.5188296868e+01	2.2167876743e+02	1.4023345497e+02
87               	e423_0	4.9348695921e+00	7.0104794483e+02	2.9174594538e+02
88               	Bottom	3.7765040241e+01	2.2238725704e+02	1.1686837068e+02
88               	Top	5.5188316587e+01	2.0306697087e+02	1.3845531332e+02
88               	e423_0	4.6706167394e+00	7.0107379556e+02	2.9173111886e+02
89               	Bottom	6.4495712004e+00	1.9952836061e+02	1.1091477040e+02
89               	Top	2.7214325472e+01	2.0258109954e+02	1.3131437254e+02
89               	e423_0	3.9340363615e+00	7.0109209291e+02	2.9168909410e+02
90               	Bottom	5.4154500888e+01	1.7566199055e+02	1.1372876871e+02
