# Time           	flap1            	mainPlane        
1	( 1.0836821322e-01 7.6272156441e-02 -6.5372001866e-01 )	( 2.2748759667e-01 8.6880714209e-02 -6.5444590588e-01 )	
2	( 9.1250217147e-03 6.5578458600e-03 -5.5096993833e-02 )	( 2.3693957183e-02 7.3784398015e-03 -6.1040108249e-02 )	
3	( 2.5109200919e-03 1.8511568133e-03 -1.5188101033e-02 )	( 9.5624873940e-03 2.2674610461e-03 -2.1754785146e-02 )	
4	( 2.6900536085e-03 2.0111520366e-03 -1.6543935848e-02 )	( 9.2226792295e-03 2.0617360555e-03 -2.0933692760e-02 )	
5	( 3.1473037117e-03 2.3103766989e-03 -1.9409298348e-02 )	( 9.5962086459e-03 2.1180648699e-03 -2.1946930084e-02 )	
6	( 3.3683574241e-03 2.4549474677e-03 -2.0804461090e-02 )	( 9.8693767024e-03 2.1535395112e-03 -2.2634413304e-02 )	
7	( 3.5404049991e-03 2.5828129986e-03 -2.1935017668e-02 )	( 1.0151461423e-02 2.2028201991e-03 -2.3363638865e-02 )	
8	( 3.6839972454e-03 2.6865675063e-03 -2.2870689851e-02 )	( 1.0370274571e-02 2.2377861421e-03 -2.3893879156e-02 )	
9	( 3.8055255883e-03 2.7682048360e-03 -2.3643538623e-02 )	( 1.0530869759e-02 2.2590529346e-03 -2.4249860082e-02 )	
10	( 3.8955411194e-03 2.8239844899e-03 -2.4204868885e-02 )	( 1.0636663061e-02 2.2667478683e-03 -2.4449081743e-02 )	
11	( 3.9574176810e-03 2.8549660145e-03 -2.4571218496e-02 )	( 1.0699947809e-02 2.2637652313e-03 -2.4527542012e-02 )	
12	( 3.9897724399e-03 2.8605391903e-03 -2.4737372267e-02 )	( 1.0725764156e-02 2.2511135736e-03 -2.4497940841e-02 )	
13	( 4.0014637592e-03 2.8495859298e-03 -2.4767230225e-02 )	( 1.0726080330e-02 2.2316722840e-03 -2.4393827368e-02 )	
14	( 3.9925763913e-03 2.8265090407e-03 -2.4673045619e-02 )	( 1.0717453079e-02 2.2104393675e-03 -2.4269434415e-02 )	
15	( 3.9730632164e-03 2.7969748531e-03 -2.4512675880e-02 )	( 1.0703682758e-02 2.1884079104e-03 -2.4133914194e-02 )	
16	( 3.9444627203e-03 2.7643394535e-03 -2.4303448269e-02 )	( 1.0686916644e-02 2.1656064077e-03 -2.3993162912e-02 )	
17	( 3.9112116566e-03 2.7302294338e-03 -2.4069004572e-02 )	( 1.0667836287e-02 2.1424299267e-03 -2.3848894725e-02 )	
18	( 3.8717248975e-03 2.6926439914e-03 -2.3797471196e-02 )	( 1.0645396826e-02 2.1187948185e-03 -2.3698906273e-02 )	
19	( 3.8298728902e-03 2.6549840298e-03 -2.3514394863e-02 )	( 1.0626728689e-02 2.0965144005e-03 -2.3562374692e-02 )	
20	( 3.7837294521e-03 2.6162911462e-03 -2.3209804627e-02 )	( 1.0608139733e-02 2.0746987921e-03 -2.3430205855e-02 )	
21	( 3.7351214239e-03 2.5774433827e-03 -2.2894025311e-02 )	( 1.0591807613e-02 2.0541626066e-03 -2.3307899545e-02 )	
22	( 3.6849210769e-03 2.5387360581e-03 -2.2571817144e-02 )	( 1.0576345735e-02 2.0341970273e-03 -2.3190893604e-02 )	
23	( 3.6346975950e-03 2.5014846770e-03 -2.2253285237e-02 )	( 1.0563549791e-02 2.0152851687e-03 -2.3083898655e-02 )	
24	( 3.5850971207e-03 2.4658290452e-03 -2.1941903601e-02 )	( 1.0552984146e-02 1.9971473923e-03 -2.2985329073e-02 )	
25	( 3.5388415342e-03 2.4327334353e-03 -2.1651680751e-02 )	( 1.0546285825e-02 1.9805787971e-03 -2.2899457190e-02 )	
26	( 3.4936801992e-03 2.4014268452e-03 -2.1371289071e-02 )	( 1.0541888809e-02 1.9647479341e-03 -2.2821436455e-02 )	
27	( 3.4505814542e-03 2.3721546908e-03 -2.1105360297e-02 )	( 1.0539704913e-02 1.9497694345e-03 -2.2750852223e-02 )	
28	( 3.4101400944e-03 2.3446545299e-03 -2.0855782488e-02 )	( 1.0540540485e-02 1.9359111453e-03 -2.2690233197e-02 )	
29	( 3.3701881261e-03 2.3181313201e-03 -2.0611114713e-02 )	( 1.0541851576e-02 1.9224534405e-03 -2.2632322864e-02 )	
30	( 3.3323350038e-03 2.2928285131e-03 -2.0378841093e-02 )	( 1.0544585219e-02 1.9096847762e-03 -2.2579811216e-02 )	
31	( 3.2955109627e-03 2.2686490700e-03 -2.0154104261e-02 )	( 1.0547816078e-02 1.8972304853e-03 -2.2529496364e-02 )	
32	( 3.2602551056e-03 2.2450475120e-03 -1.9937741031e-02 )	( 1.0552313299e-02 1.8854818679e-03 -2.2484420827e-02 )	
33	( 3.2258508573e-03 2.2221039773e-03 -1.9726758048e-02 )	( 1.0557429858e-02 1.8742109894e-03 -2.2442120181e-02 )	
34	( 3.1922611990e-03 2.1997547515e-03 -1.9521007164e-02 )	( 1.0562699288e-02 1.8630435177e-03 -2.2401108136e-02 )	
35	( 3.1593136006e-03 2.1775772507e-03 -1.9318353476e-02 )	( 1.0568762183e-02 1.8524805659e-03 -2.2363391291e-02 )	
36	( 3.1271568830e-03 2.1559616153e-03 -1.9120698404e-02 )	( 1.0574798141e-02 1.8420260191e-03 -2.2326738875e-02 )	
37	( 3.0950171062e-03 2.1344128161e-03 -1.8923257354e-02 )	( 1.0581179365e-02 1.8319412743e-03 -2.2291852905e-02 )	
38	( 3.0632846580e-03 2.1129208643e-03 -1.8727780061e-02 )	( 1.0587954638e-02 1.8220627674e-03 -2.2258931603e-02 )	
39	( 3.0319566257e-03 2.0917624594e-03 -1.8534837593e-02 )	( 1.0594786621e-02 1.8124626147e-03 -2.2226993919e-02 )	
40	( 3.0009282863e-03 2.0706120018e-03 -1.8343313651e-02 )	( 1.0602078133e-02 1.8031328885e-03 -2.2197226769e-02 )	
41	( 2.9705414475e-03 2.0499661737e-03 -1.8155772912e-02 )	( 1.0609387901e-02 1.7940174499e-03 -2.2168201289e-02 )	
42	( 2.9407894135e-03 2.0295794094e-03 -1.7971737503e-02 )	( 1.0617122781e-02 1.7850737895e-03 -2.2141027499e-02 )	
43	( 2.9111944641e-03 2.0092517549e-03 -1.7788455771e-02 )	( 1.0624891959e-02 1.7764528629e-03 -2.2114865107e-02 )	
44	( 2.8821876551e-03 1.9890827552e-03 -1.7608194757e-02 )	( 1.0633192691e-02 1.7680720119e-03 -2.2090893809e-02 )	
45	( 2.8539771311e-03 1.9694905521e-03 -1.7432786684e-02 )	( 1.0641646980e-02 1.7599405335e-03 -2.2067944630e-02 )	
46	( 2.8267534587e-03 1.9504266703e-03 -1.7263165424e-02 )	( 1.0650550080e-02 1.7519940055e-03 -2.2046941854e-02 )	
47	( 2.8001856676e-03 1.9316666277e-03 -1.7097091692e-02 )	( 1.0660116501e-02 1.7444660587e-03 -2.2028363208e-02 )	
48	( 2.7748111955e-03 1.9135962188e-03 -1.6938111642e-02 )	( 1.0670042553e-02 1.7370923763e-03 -2.2011529409e-02 )	
49	( 2.7503543032e-03 1.8961372088e-03 -1.6784667033e-02 )	( 1.0680458322e-02 1.7300594508e-03 -2.1996622400e-02 )	
50	( 2.7273085008e-03 1.8794631730e-03 -1.6639521829e-02 )	( 1.0691612143e-02 1.7232983682e-03 -2.1984337604e-02 )	
