# Time           	totalLift        	frontLift        	rearLift         	drag             	side             	Xmoment          	Ymoment          	Zmoment          
1	-4.3658445422e+00	-1.0523819511e+00	-3.3134625911e+00	2.5257784264e+00	0.0000000000e+00	-5.2951764175e+00	2.8263508001e+00	-3.0634261550e+00
2	-1.2774867457e+00	-3.5978226405e-01	-9.1770448164e-01	6.4033576533e-01	0.0000000000e+00	-1.5494179016e+00	6.9740277200e-01	-7.7664030660e-01
3	-7.1185009372e-01	-2.2504474486e-01	-4.8680534887e-01	2.9694978639e-01	0.0000000000e+00	-8.6337747316e-01	3.2720075501e-01	-3.6015975623e-01
4	-6.4532811768e-01	-2.1073495728e-01	-4.3459316040e-01	2.4887897429e-01	0.0000000000e+00	-7.8269535190e-01	2.7982275390e-01	-3.0185639060e-01
5	-6.8027539200e-01	-2.2408483380e-01	-4.5619055820e-01	2.5342529455e-01	0.0000000000e+00	-8.2508164876e-01	2.9013215551e-01	-3.0737045956e-01
6	-7.2515647596e-01	-2.4147740322e-01	-4.8367907274e-01	2.6084944911e-01	0.0000000000e+00	-8.7951630741e-01	3.0275208690e-01	-3.1637495062e-01
7	-7.6604841734e-01	-2.5771981663e-01	-5.0832860071e-01	2.6631717945e-01	0.0000000000e+00	-9.2911267795e-01	3.1326098010e-01	-3.2300656484e-01
8	-8.0578426191e-01	-2.7295398769e-01	-5.3283027422e-01	2.7240457374e-01	0.0000000000e+00	-9.7730686011e-01	3.2484535815e-01	-3.3038974727e-01
9	-8.4070157158e-01	-2.8658381693e-01	-5.5411775465e-01	2.7653961282e-01	0.0000000000e+00	-1.0196568139e+00	3.3441742216e-01	-3.3540498800e-01
10	-8.6901364838e-01	-2.9781693093e-01	-5.7119671746e-01	2.7868163349e-01	0.0000000000e+00	-1.0539955175e+00	3.4172473316e-01	-3.3800296813e-01
11	-9.0131189803e-01	-3.1083688493e-01	-5.9047501310e-01	2.8118186625e-01	0.0000000000e+00	-1.0931689072e+00	3.4954766022e-01	-3.4103541085e-01
