# y+ ()          
# Time           	patch            	min              	max              	average          
1                	Bottom	9.8918679627e+00	2.8186850897e+02	1.5677874919e+02
1                	Top	4.8788253488e+01	2.7446248568e+02	1.5798306554e+02
1                	e423_0	1.4864298618e+00	2.2004016878e+02	9.8737414225e+00
2                	Bottom	1.7732603092e+01	2.7874299590e+02	1.5220984359e+02
2                	Top	3.5875886789e+01	2.8023003443e+02	1.6165691324e+02
2                	e423_0	5.7832229263e-01	2.7247070765e+02	1.3049601132e+01
3                	Bottom	5.7230787064e+00	2.8973822369e+02	1.5132622558e+02
3                	Top	4.4630620257e+01	2.8604189248e+02	1.6478126178e+02
3                	e423_0	1.7383845975e+00	2.1892789351e+02	1.1305109572e+01
4                	Bottom	7.9040572158e+00	2.9225724622e+02	1.5104268471e+02
4                	Top	4.5762922156e+01	2.9434788863e+02	1.6936637055e+02
4                	e423_0	1.2601104702e+00	2.0448887045e+02	1.0146607623e+01
5                	Bottom	1.1084110643e+01	2.9472673433e+02	1.4810759043e+02
5                	Top	4.5192667290e+01	3.0773145420e+02	1.7351647852e+02
5                	e423_0	1.3366742351e+00	1.8346904983e+02	9.1640800247e+00
6                	Bottom	9.4262831189e+00	2.9281427088e+02	1.4494362374e+02
6                	Top	4.2365020826e+01	3.0875015491e+02	1.7597762970e+02
6                	e423_0	3.3456319929e-01	1.7635632928e+02	8.1912063371e+00
7                	Bottom	1.0105373176e+01	2.8713943188e+02	1.3900674072e+02
7                	Top	4.0275961811e+01	3.1305501181e+02	1.7652256478e+02
7                	e423_0	7.2562786140e-01	1.6837734851e+02	7.4851558857e+00
8                	Bottom	6.7732240102e+00	2.7813228664e+02	1.3378248975e+02
8                	Top	3.9480606469e+01	3.1092558668e+02	1.7545930918e+02
8                	e423_0	6.8328222741e-01	1.6019413558e+02	6.9166505037e+00
9                	Bottom	7.1325695468e+00	2.6665158947e+02	1.3581373590e+02
9                	Top	3.8641012111e+01	3.0111854887e+02	1.7306881314e+02
9                	e423_0	7.3776957628e-01	1.5369942240e+02	6.5312830056e+00
10               	Bottom	1.0895857957e+01	2.5355347249e+02	1.3461180099e+02
10               	Top	9.9929435325e+00	2.9055730048e+02	1.6950315523e+02
10               	e423_0	8.3106390400e-01	1.4812273870e+02	6.1536585820e+00
11               	Bottom	1.0753198360e+01	2.4041737451e+02	1.3212875287e+02
11               	Top	3.4300655291e+01	2.8550791215e+02	1.6670816711e+02
11               	e423_0	6.7060835809e-01	1.4365438321e+02	5.8799501193e+00
12               	Bottom	3.3851694021e+00	2.2704350065e+02	1.2956526697e+02
12               	Top	3.9125891629e+01	2.7707656288e+02	1.6323476360e+02
12               	e423_0	4.5545200650e-01	1.4087815812e+02	5.6953378782e+00
13               	Bottom	8.0988407166e+00	2.1384497996e+02	1.2673267965e+02
13               	Top	3.9133333330e+01	2.6386997406e+02	1.5939879621e+02
13               	e423_0	1.7871630182e+00	1.4075263997e+02	5.5976241345e+00
14               	Bottom	3.8095497717e+00	2.0145893616e+02	1.2376597172e+02
14               	Top	3.3189270329e+01	2.5155333402e+02	1.5523874886e+02
14               	e423_0	1.6098159318e+00	1.4131233552e+02	5.4759365157e+00
15               	Bottom	7.8346705041e+00	1.9804358395e+02	1.2093054849e+02
15               	Top	2.4256037281e+01	2.3825967351e+02	1.5119220197e+02
15               	e423_0	8.6329565388e-01	1.4210462585e+02	5.3858284548e+00
16               	Bottom	3.3374276158e+00	1.9739609010e+02	1.1723831771e+02
16               	Top	3.9379551102e+01	2.2548013404e+02	1.4770937458e+02
16               	e423_0	8.2782504211e-01	1.4307522596e+02	5.2994715397e+00
17               	Bottom	2.6094023380e+00	1.9593699110e+02	1.1429750534e+02
17               	Top	3.8260217772e+01	2.1286360481e+02	1.4370568474e+02
17               	e423_0	1.3498456847e+00	1.4406207144e+02	5.2359559804e+00
18               	Bottom	4.7611268527e+00	1.9289804459e+02	1.1154199390e+02
18               	Top	2.3259702481e+01	2.0064282376e+02	1.3960030238e+02
18               	e423_0	1.6519587373e+00	1.4489222888e+02	5.1680093023e+00
19               	Bottom	6.4087491499e+00	1.8992631691e+02	1.0858216360e+02
19               	Top	3.9879988915e+01	1.8907496602e+02	1.3621117033e+02
19               	e423_0	1.8453331936e+00	1.4540080710e+02	5.1139869116e+00
20               	Bottom	6.9631102599e+00	1.8583521317e+02	1.0565597201e+02
20               	Top	1.6992371005e+01	1.7837305517e+02	1.3201119689e+02
20               	e423_0	1.9797714972e+00	1.4589117409e+02	5.0545629801e+00
21               	Bottom	6.6881615707e+00	1.8148586761e+02	1.0270164387e+02
21               	Top	4.0284047124e+01	1.7196400297e+02	1.2882926918e+02
21               	e423_0	2.0688596518e+00	1.4635553276e+02	5.0060936323e+00
22               	Bottom	6.3923464011e+00	1.7696854282e+02	9.9800166887e+01
22               	Top	1.2453219731e+01	1.6804587923e+02	1.2481749119e+02
22               	e423_0	2.0262279732e+00	1.4684183739e+02	4.9526739634e+00
23               	Bottom	3.3837955824e+00	1.7201616594e+02	9.7395404475e+01
23               	Top	3.6652853919e+01	1.6362595117e+02	1.2191948284e+02
23               	e423_0	1.9491941653e+00	1.4738859574e+02	4.9095442112e+00
24               	Bottom	4.0184197736e+00	1.6710473996e+02	9.5690265202e+01
