# y+ ()          
# Time           	patch            	min              	max              	average          
1                	Bottom	6.1715210123e+01	5.3616206473e+02	2.9221788586e+02
1                	Top	1.2502079763e+02	6.5406048743e+02	3.6967555598e+02
1                	e423_0	8.0037298706e+00	5.7966912278e+02	2.9462222796e+02
2                	Bottom	7.9167548278e+01	4.7257248428e+02	2.6907901461e+02
2                	Top	1.1725766103e+02	6.6516246389e+02	3.8631942326e+02
2                	e423_0	5.6433213694e+01	8.4126883913e+02	3.1890512876e+02
3                	Bottom	5.5539556904e+01	4.3833032608e+02	2.3916342221e+02
3                	Top	1.2575012327e+02	7.2757953283e+02	3.7556804262e+02
3                	e423_0	9.7991368800e+00	6.1972127257e+02	3.0968110824e+02
4                	Bottom	2.3781893061e+01	4.5414576354e+02	2.2355889009e+02
4                	Top	5.5284387125e+01	7.6982467884e+02	3.6303892397e+02
4                	e423_0	7.4762891511e+00	6.1055221722e+02	3.0480788462e+02
5                	Bottom	3.0481975284e+01	4.5755515589e+02	2.3889215318e+02
5                	Top	1.3355038007e+02	8.0135848137e+02	3.6386676911e+02
5                	e423_0	7.2669934510e+01	5.9450011865e+02	3.0215722074e+02
6                	Bottom	4.6739078835e+01	4.7116277148e+02	2.6072017025e+02
6                	Top	1.3620686369e+02	8.2607881659e+02	3.6101533356e+02
6                	e423_0	7.9369494037e+01	5.9130767506e+02	2.9616294262e+02
7                	Bottom	3.7764223005e+01	4.7850769910e+02	2.7681009245e+02
7                	Top	1.3770082131e+02	8.4308230290e+02	3.5985122797e+02
7                	e423_0	7.4910482431e+01	5.9959158218e+02	2.8996290313e+02
8                	Bottom	3.6457121317e+01	4.8519761250e+02	2.8345744579e+02
8                	Top	1.3946007439e+02	8.5351896872e+02	3.6070310746e+02
8                	e423_0	6.9214511511e+01	6.0535096283e+02	2.8389786750e+02
9                	Bottom	3.3203226038e+01	4.9339555286e+02	2.8781941748e+02
9                	Top	1.4303489170e+02	8.6849266635e+02	3.6261156276e+02
9                	e423_0	5.7139579997e+01	6.1096269640e+02	2.7784092996e+02
10               	Bottom	1.1167402833e+01	5.0223327768e+02	2.8986492009e+02
10               	Top	1.4662208415e+02	8.7353036520e+02	3.6522285605e+02
10               	e423_0	3.4514089233e+01	6.1962833121e+02	2.7112909095e+02
11               	Bottom	4.8963999918e+01	5.0994261669e+02	2.8977642397e+02
11               	Top	1.3412382333e+02	8.6736865949e+02	3.6619544802e+02
11               	e423_0	1.2582676930e+01	6.3386644080e+02	2.6390406554e+02
12               	Bottom	5.8273028134e+01	5.1557406952e+02	2.8426566982e+02
12               	Top	1.0837471401e+02	8.5283714870e+02	3.6505247079e+02
12               	e423_0	1.6039420012e+01	6.4591330360e+02	2.5645793906e+02
13               	Bottom	4.5649483243e+01	5.1673703509e+02	2.7484040846e+02
13               	Top	7.3656839596e+01	8.3169428242e+02	3.6149212959e+02
13               	e423_0	1.5309817496e+01	6.5586403147e+02	2.4841672088e+02
14               	Bottom	5.5264718360e+01	5.1127715877e+02	2.6871697334e+02
14               	Top	3.6158422195e+01	8.0569635974e+02	3.5595644698e+02
14               	e423_0	9.7960931221e+00	6.6461114540e+02	2.3924504574e+02
15               	Bottom	5.3484361106e+01	4.9851311158e+02	2.6228798886e+02
15               	Top	8.8127871299e+01	7.7655968299e+02	3.5417686034e+02
15               	e423_0	9.7716658669e+00	6.7168592660e+02	2.2902380511e+02
16               	Bottom	4.8806079795e+01	4.7812588536e+02	2.5458601279e+02
16               	Top	1.1554063976e+02	7.4659989515e+02	3.5042859084e+02
16               	e423_0	1.3918507262e+01	6.7702550509e+02	2.1749039780e+02
17               	Bottom	3.8176406111e+01	4.5037987263e+02	2.4607860988e+02
17               	Top	1.2181351856e+02	7.1673790708e+02	3.4555680347e+02
17               	e423_0	5.8383147518e+00	6.8062865497e+02	2.0379971949e+02
18               	Bottom	1.2364722434e+01	4.1560216468e+02	2.3645374787e+02
18               	Top	9.5471064323e+01	6.8563443403e+02	3.3976211018e+02
18               	e423_0	3.7710112879e+00	6.8202180469e+02	1.8738927621e+02
19               	Bottom	5.0128621395e+01	3.7871310247e+02	2.2966676822e+02
19               	Top	6.6313575601e+01	6.5210434358e+02	3.3323927816e+02
19               	e423_0	6.3275223672e+00	6.8073424435e+02	1.8183409430e+02
20               	Bottom	4.1750477872e+01	3.8244842867e+02	2.1991558040e+02
20               	Top	1.6494482748e+01	6.1566909652e+02	3.2547868608e+02
20               	e423_0	4.7334480485e+00	6.7673040295e+02	1.7334649655e+02
21               	Bottom	3.6271922573e+01	3.8698656015e+02	2.2009114649e+02
21               	Top	6.1582727241e+01	5.7721162447e+02	3.2288855956e+02
21               	e423_0	6.9284549659e+00	6.6943431262e+02	1.8577686282e+02
22               	Bottom	6.1506578790e+01	3.9192835750e+02	2.2164235717e+02
22               	Top	8.9629110208e+01	5.3739598704e+02	3.1918211529e+02
22               	e423_0	7.1267976565e+00	6.6264953445e+02	1.9143128299e+02
23               	Bottom	2.2461178039e+01	3.9781913722e+02	2.1743648625e+02
23               	Top	1.0107853193e+02	5.0033430039e+02	3.1521437131e+02
23               	e423_0	8.0178852177e+00	6.5509109294e+02	1.9838113638e+02
24               	Bottom	6.4097714167e+01	4.0406406997e+02	2.2973040499e+02
24               	Top	7.8000165742e+01	5.0605659093e+02	3.1105812621e+02
24               	e423_0	8.3907723464e+00	6.4681785852e+02	2.0467711156e+02
25               	Bottom	7.3019916829e+01	4.0992592432e+02	2.3541758463e+02
25               	Top	4.4936347440e+01	5.1125228733e+02	3.0612095255e+02
25               	e423_0	9.0260176046e+00	6.3741300981e+02	2.0727898171e+02
26               	Bottom	4.9500860520e+01	4.1454511609e+02	2.3822352585e+02
26               	Top	4.7552552343e+01	5.1592666785e+02	3.0214898472e+02
26               	e423_0	9.2945053862e+00	6.2662083898e+02	2.0852284279e+02
27               	Bottom	2.4974797996e+01	4.1763481570e+02	2.3955877236e+02
27               	Top	8.2835018386e+01	5.2020986559e+02	2.9800851878e+02
27               	e423_0	1.9021078750e+01	6.1464096996e+02	2.1018638767e+02
28               	Bottom	6.2709623249e+01	4.1918657946e+02	2.4540729995e+02
28               	Top	8.2743812299e+01	5.2414674590e+02	2.9766818277e+02
28               	e423_0	2.2601637859e+01	6.0217201693e+02	2.1222716655e+02
29               	Bottom	8.6749186032e+01	4.2074774602e+02	2.5237102910e+02
29               	Top	5.3027153437e+01	5.2755179952e+02	2.9942390483e+02
29               	e423_0	1.4691230871e+01	5.8934630103e+02	2.1276777102e+02
30               	Bottom	7.3010309982e+01	4.2354835537e+02	2.5946037334e+02
30               	Top	3.5990277550e+01	5.3059158671e+02	2.9949351238e+02
30               	e423_0	1.4809175197e+01	5.7656330543e+02	2.1259806498e+02
31               	Bottom	4.9458235699e+01	4.2969346515e+02	2.6462710147e+02
31               	Top	4.3153222577e+01	5.3301950219e+02	2.9875700480e+02
31               	e423_0	1.2824782751e+01	5.6361846290e+02	2.1188939943e+02
32               	Bottom	1.9474774188e+01	4.3961759845e+02	2.6740453814e+02
32               	Top	5.5504653588e+01	5.3637072078e+02	3.0816959824e+02
32               	e423_0	9.8479307307e+00	5.5069413109e+02	2.1068811157e+02
33               	Bottom	5.7434069044e+01	4.4667766655e+02	2.7262648855e+02
33               	Top	3.4633330248e+01	5.4007993839e+02	3.1478707143e+02
33               	e423_0	4.6193920752e+00	5.4414378969e+02	2.0955739840e+02
34               	Bottom	1.9214221391e+01	4.5500859425e+02	2.7518018384e+02
34               	Top	7.4827567900e+01	5.4311717676e+02	3.2304887515e+02
34               	e423_0	7.1562621570e+00	5.4899893386e+02	2.0985351376e+02
35               	Bottom	5.8323834264e+01	4.6819803182e+02	2.8333345503e+02
35               	Top	3.9885732258e+01	5.4531465451e+02	3.2873592074e+02
35               	e423_0	2.4126914445e+01	5.5433927350e+02	2.1046379360e+02
36               	Bottom	1.8382125539e+01	4.8467995058e+02	2.8934938796e+02
36               	Top	3.5382553197e+01	5.4656203215e+02	3.3562874807e+02
36               	e423_0	3.1825720065e+01	5.6000117899e+02	2.1077926349e+02
37               	Bottom	6.8981063085e+01	5.0325017663e+02	2.9837329629e+02
37               	Top	6.0419603451e+01	5.4678390461e+02	3.4677530891e+02
37               	e423_0	3.8866722790e+01	5.6599367595e+02	2.1049697516e+02
38               	Bottom	9.6817434405e+01	5.2212802560e+02	3.0709888979e+02
38               	Top	9.0233777416e+01	5.4583884834e+02	3.5684936446e+02
38               	e423_0	4.4950002220e+01	5.7266590515e+02	2.0939570418e+02
39               	Bottom	1.2067827124e+02	5.4095071964e+02	3.1615133282e+02
39               	Top	1.1234662361e+02	5.4343289542e+02	3.6577632646e+02
39               	e423_0	3.6782772823e+01	5.8001614781e+02	2.0783989986e+02
40               	Bottom	1.4380572460e+02	5.6087907059e+02	3.2442256434e+02
40               	Top	1.3164586474e+02	5.4168219790e+02	3.7412220977e+02
40               	e423_0	1.9870311467e+01	5.8724706019e+02	2.0558148571e+02
41               	Bottom	1.1674069671e+02	5.8168965922e+02	3.3175666122e+02
41               	Top	1.4885605490e+02	5.4068275226e+02	3.8208494620e+02
41               	e423_0	3.2377161470e+01	5.9383002441e+02	2.0341098756e+02
42               	Bottom	5.7120662767e+01	6.0404699792e+02	3.3767387657e+02
42               	Top	1.4563106803e+02	5.3819972757e+02	3.8941797961e+02
42               	e423_0	1.9676136223e+01	5.9901348987e+02	2.0225017180e+02
43               	Bottom	8.7346591849e+01	6.2721460936e+02	3.4805317517e+02
43               	Top	1.4222261635e+02	5.6370353363e+02	3.9628723763e+02
43               	e423_0	1.9935697556e+00	6.0261362158e+02	1.9702084217e+02
44               	Bottom	1.3080534063e+02	6.5073303317e+02	3.5798045896e+02
44               	Top	1.3914637692e+02	5.9410534620e+02	4.0272582929e+02
44               	e423_0	2.4236792734e+01	6.0538917716e+02	1.9445510264e+02
45               	Bottom	1.5989593083e+02	6.7342194919e+02	3.6683421102e+02
45               	Top	1.3594519948e+02	6.2573027908e+02	4.0854866870e+02
45               	e423_0	2.6143073727e+01	6.0679246086e+02	1.9036507480e+02
46               	Bottom	1.5911401685e+02	7.0330792442e+02	3.7464121152e+02
46               	Top	1.3247762212e+02	6.5495692079e+02	4.1353444053e+02
46               	e423_0	7.2192228648e+00	6.0674898466e+02	1.8613970456e+02
47               	Bottom	1.1238817156e+02	7.3405159990e+02	3.8047439169e+02
47               	Top	1.2591830075e+02	6.8362138312e+02	4.1739364712e+02
47               	e423_0	3.0150371963e+01	6.0580614223e+02	1.8508431876e+02
48               	Bottom	2.4601639776e+01	7.6501412891e+02	3.8298601665e+02
48               	Top	1.2089625384e+02	7.1369774592e+02	4.2020974383e+02
48               	e423_0	1.3399063430e+01	6.0327885350e+02	1.8019274570e+02
49               	Bottom	1.1398010981e+02	7.9471486428e+02	3.9214665425e+02
49               	Top	1.1455157035e+02	7.4900882136e+02	4.2189532759e+02
49               	e423_0	3.7899634927e+00	5.9922914893e+02	1.7711178295e+02
50               	Bottom	1.4196472599e+02	8.2166642215e+02	3.9826380686e+02
50               	Top	1.0891096884e+02	7.8403939770e+02	4.2267201479e+02
50               	e423_0	9.1969813215e+00	5.9354524484e+02	1.7608607308e+02
51               	Bottom	1.7455195881e+02	8.4703409725e+02	4.0343641543e+02
51               	Top	1.0446586222e+02	8.1898536561e+02	4.2257532417e+02
51               	e423_0	1.7356484563e+01	5.8582955159e+02	1.7663203926e+02
