# Time           	e423_0           
1	( 9.2959459628e-01 -1.2277262566e-01 -5.4863788099e-01 )	
2	( -6.6561246876e-02 1.5614231761e-01 -1.8537385573e-01 )	
3	( -1.2060478096e-01 1.2612889356e-01 -8.9690976877e-02 )	
4	( -1.0528447983e-01 1.0883372162e-01 -7.0968682395e-02 )	
5	( -1.0844788918e-01 1.1000506320e-01 -7.0884473744e-02 )	
6	( -1.0745689927e-01 1.1024209228e-01 -7.2013242125e-02 )	
7	( -1.0728841810e-01 1.1089343354e-01 -7.3561359862e-02 )	
8	( -1.0721597991e-01 1.1125972877e-01 -7.4872430084e-02 )	
9	( -1.0727744300e-01 1.1139907188e-01 -7.5929506150e-02 )	
10	( -1.0755283944e-01 1.1136919851e-01 -7.6670797069e-02 )	
11	( -1.0857881057e-01 1.1128643572e-01 -7.6994328379e-02 )	
12	( -1.0980465792e-01 1.1091993562e-01 -7.6947627242e-02 )	
13	( -1.1097382927e-01 1.1010830982e-01 -7.6555024686e-02 )	
14	( -1.1199300586e-01 1.0898832592e-01 -7.5905759172e-02 )	
15	( -1.1281853575e-01 1.0756211316e-01 -7.5032536393e-02 )	
16	( -1.1320633436e-01 1.0581970463e-01 -7.4006017871e-02 )	
17	( -1.1337853521e-01 1.0389690326e-01 -7.2869029172e-02 )	
18	( -1.1333381137e-01 1.0189278245e-01 -7.1723326383e-02 )	
19	( -1.1276580734e-01 9.9634179424e-02 -7.0564591537e-02 )	
20	( -1.1192598570e-01 9.7245271718e-02 -6.9404805504e-02 )	
21	( -1.1065840382e-01 9.4686461366e-02 -6.8252911004e-02 )	
22	( -1.0891152859e-01 9.1986376024e-02 -6.7176024579e-02 )	
23	( -1.0821367487e-01 8.9996033893e-02 -6.6168063210e-02 )	
24	( -1.0770117870e-01 8.8262217215e-02 -6.5256426628e-02 )	
25	( -1.0782209808e-01 8.7027063694e-02 -6.4435878411e-02 )	
26	( -1.0755845829e-01 8.5730725097e-02 -6.3719590487e-02 )	
27	( -1.0822520942e-01 8.5119756738e-02 -6.3123082588e-02 )	
28	( -1.0971674840e-01 8.5106549978e-02 -6.2643345102e-02 )	
29	( -1.1203898979e-01 8.5633068670e-02 -6.2234992171e-02 )	
30	( -1.1525245787e-01 8.6723729563e-02 -6.1898412164e-02 )	
31	( -1.1923771421e-01 8.8290681928e-02 -6.1633529255e-02 )	
32	( -1.2386912594e-01 9.0244946197e-02 -6.1416255542e-02 )	
33	( -1.2884435374e-01 9.2405324927e-02 -6.1230458871e-02 )	
34	( -1.3370707797e-01 9.4517472900e-02 -6.1066755242e-02 )	
35	( -1.3849970320e-01 9.6604471610e-02 -6.0919282438e-02 )	
36	( -1.4351965081e-01 9.8818485994e-02 -6.0764068353e-02 )	
37	( -1.4831836991e-01 1.0090420064e-01 -6.0606368872e-02 )	
38	( -1.5287297980e-01 1.0284534115e-01 -6.0433489939e-02 )	
39	( -1.5726516429e-01 1.0468700374e-01 -6.0234419088e-02 )	
40	( -1.6133265339e-01 1.0634944242e-01 -6.0028435319e-02 )	
41	( -1.6524914654e-01 1.0792367705e-01 -5.9775355757e-02 )	
42	( -1.6899203928e-01 1.0940882449e-01 -5.9509464862e-02 )	
43	( -1.7244970991e-01 1.1073943489e-01 -5.9250137021e-02 )	
44	( -1.7569720233e-01 1.1195229208e-01 -5.8972146404e-02 )	
45	( -1.7876139341e-01 1.1306796704e-01 -5.8679272512e-02 )	
46	( -1.8160455064e-01 1.1407420461e-01 -5.8378393060e-02 )	
47	( -1.8428385243e-01 1.1500692120e-01 -5.8071010988e-02 )	
48	( -1.8678284698e-01 1.1585656463e-01 -5.7761026928e-02 )	
49	( -1.8913934063e-01 1.1664385273e-01 -5.7450776591e-02 )	
50	( -1.9139501632e-01 1.1739029214e-01 -5.7142418521e-02 )	
51	( -1.9355059964e-01 1.1809808633e-01 -5.6835856354e-02 )	
52	( -1.9564749461e-01 1.1878879915e-01 -5.6535478446e-02 )	
53	( -1.9767550154e-01 1.1946451519e-01 -5.6246388588e-02 )	
54	( -1.9965522815e-01 1.2013730789e-01 -5.5972358134e-02 )	
55	( -2.0160317115e-01 1.2081216227e-01 -5.5707737132e-02 )	
56	( -2.0352067976e-01 1.2148896118e-01 -5.5453494568e-02 )	
57	( -2.0538307449e-01 1.2215664308e-01 -5.5212310809e-02 )	
58	( -2.0718329292e-01 1.2281006355e-01 -5.4983195663e-02 )	
59	( -2.0892992539e-01 1.2345332762e-01 -5.4765790581e-02 )	
60	( -2.1062356635e-01 1.2408852400e-01 -5.4559944688e-02 )	
61	( -2.1224435539e-01 1.2470274892e-01 -5.4364161773e-02 )	
62	( -2.1379676405e-01 1.2529685003e-01 -5.4178332239e-02 )	
63	( -2.1527651974e-01 1.2586735464e-01 -5.4003645679e-02 )	
64	( -2.1667116891e-01 1.2641000214e-01 -5.3841538624e-02 )	
65	( -2.1799844102e-01 1.2693136932e-01 -5.3688831830e-02 )	
66	( -2.1924312899e-01 1.2742441382e-01 -5.3546284557e-02 )	
67	( -2.2041609087e-01 1.2789141997e-01 -5.3411712462e-02 )	
68	( -2.2152054010e-01 1.2833684542e-01 -5.3287693449e-02 )	
69	( -2.2256084208e-01 1.2876103703e-01 -5.3172613145e-02 )	
70	( -2.2352319611e-01 1.2915631227e-01 -5.3066174487e-02 )	
71	( -2.2441515246e-01 1.2952556367e-01 -5.2967779527e-02 )	
72	( -2.2525241789e-01 1.2987543194e-01 -5.2876326775e-02 )	
73	( -2.2602741580e-01 1.3020118566e-01 -5.2791685741e-02 )	
74	( -2.2674680758e-01 1.3050521141e-01 -5.2712889023e-02 )	
75	( -2.2741402305e-01 1.3078833587e-01 -5.2639008190e-02 )	
76	( -2.2802351919e-01 1.3105011161e-01 -5.2571851612e-02 )	
77	( -2.2859381220e-01 1.3129988682e-01 -5.2511361559e-02 )	
78	( -2.2914080430e-01 1.3154551519e-01 -5.2457460190e-02 )	
79	( -2.2967392528e-01 1.3178994958e-01 -5.2408728031e-02 )	
80	( -2.3019358414e-01 1.3203274476e-01 -5.2365021660e-02 )	
81	( -2.3069324773e-01 1.3226906641e-01 -5.2324883813e-02 )	
82	( -2.3117805916e-01 1.3250112866e-01 -5.2287106768e-02 )	
83	( -2.3164495835e-01 1.3272661031e-01 -5.2251516989e-02 )	
84	( -2.3200958299e-01 1.3289612496e-01 -5.2218348290e-02 )	
85	( -2.3232917823e-01 1.3304284487e-01 -5.2188175254e-02 )	
86	( -2.3262359263e-01 1.3317794924e-01 -5.2159613858e-02 )	
87	( -2.3289763519e-01 1.3330372270e-01 -5.2131906904e-02 )	
88	( -2.3314983026e-01 1.3341947879e-01 -5.2105974755e-02 )	
89	( -2.3338213716e-01 1.3352576896e-01 -5.2081012439e-02 )	
90	( -2.3359331426e-01 1.3362190678e-01 -5.2057208177e-02 )	
91	( -2.3378580621e-01 1.3370916137e-01 -5.2034529938e-02 )	
92	( -2.3396226759e-01 1.3378864298e-01 -5.2013032794e-02 )	
93	( -2.3412365341e-01 1.3386153473e-01 -5.1992927062e-02 )	
94	( -2.3427187503e-01 1.3392832734e-01 -5.1973901007e-02 )	
95	( -2.3440779616e-01 1.3398940558e-01 -5.1955870483e-02 )	
96	( -2.3453128797e-01 1.3404495353e-01 -5.1939069104e-02 )	
97	( -2.3464339148e-01 1.3409562315e-01 -5.1923550310e-02 )	
98	( -2.3474422482e-01 1.3414161964e-01 -5.1909387838e-02 )	
99	( -2.3483376869e-01 1.3418308774e-01 -5.1896678770e-02 )	
100	( -2.3491233020e-01 1.3422035323e-01 -5.1885538900e-02 )	
101	( -2.3497969599e-01 1.3425345012e-01 -5.1876051309e-02 )	
102	( -2.3503567033e-01 1.3428241617e-01 -5.1868309481e-02 )	
103	( -2.3508047289e-01 1.3430747385e-01 -5.1862352923e-02 )	
104	( -2.3511450501e-01 1.3432890636e-01 -5.1858170238e-02 )	
105	( -2.3513665815e-01 1.3434642422e-01 -5.1856185289e-02 )	
106	( -2.3514986729e-01 1.3436161700e-01 -5.1856292351e-02 )	
107	( -2.3515426536e-01 1.3437426567e-01 -5.1858142913e-02 )	
108	( -2.3514837882e-01 1.3438349778e-01 -5.1861826831e-02 )	
109	( -2.3513287086e-01 1.3438956269e-01 -5.1867286633e-02 )	
110	( -2.3510851561e-01 1.3439272895e-01 -5.1874419268e-02 )	
111	( -2.3507568650e-01 1.3439305024e-01 -5.1883118781e-02 )	
112	( -2.3503531118e-01 1.3439079987e-01 -5.1893163165e-02 )	
113	( -2.3498821133e-01 1.3438616150e-01 -5.1904369221e-02 )	
114	( -2.3493506825e-01 1.3437926195e-01 -5.1916553656e-02 )	
115	( -2.3487666682e-01 1.3437027799e-01 -5.1929526668e-02 )	
116	( -2.3481349511e-01 1.3435923965e-01 -5.1943148268e-02 )	
117	( -2.3474704257e-01 1.3434667672e-01 -5.1957162890e-02 )	
118	( -2.3467781773e-01 1.3433262660e-01 -5.1971412230e-02 )	
119	( -2.3460641631e-01 1.3431721277e-01 -5.1985755657e-02 )	
120	( -2.3453361338e-01 1.3430065327e-01 -5.2000048278e-02 )	
121	( -2.3445997653e-01 1.3428309230e-01 -5.2014170317e-02 )	
