# y+ ()          
# Time           	patch            	min              	max              	average          
25               	e423_0	4.4442935367e-01	1.0438236450e+02	5.0083605371e+00
26               	Bottom	2.8446685738e+00	3.9883692768e+01	2.8861715018e+01
26               	Top	5.6435994123e+00	6.3837301357e+01	3.1204988986e+01
26               	e423_0	2.5353174112e-01	1.0409764814e+02	4.9815879101e+00
27               	Bottom	1.3077396585e+01	4.0145185219e+01	3.0042232125e+01
27               	Top	7.2984767484e+00	6.2321307317e+01	3.0817637238e+01
27               	e423_0	5.5273594371e-01	1.0382209685e+02	4.9795598991e+00
28               	Bottom	5.5101775269e+00	4.0441141346e+01	3.0263430472e+01
28               	Top	7.9118224362e+00	6.0281688061e+01	3.0464263893e+01
28               	e423_0	4.0655866321e-01	1.0355135202e+02	4.9639004250e+00
29               	Bottom	4.8740735808e+00	4.0999357259e+01	3.0604056524e+01
29               	Top	1.7622038336e+00	5.7879780451e+01	3.0070827814e+01
29               	e423_0	2.5712904825e-01	1.0328186899e+02	4.9525127613e+00
30               	Bottom	1.2228143764e+01	4.1838346664e+01	3.1174687757e+01
30               	Top	7.2773177751e+00	5.5291704499e+01	3.0015520214e+01
30               	e423_0	5.3532472424e-01	1.0301272608e+02	4.9270014956e+00
31               	Bottom	9.2354341277e+00	4.2736207166e+01	3.1384374455e+01
31               	Top	6.7782581915e+00	5.2710332849e+01	2.9931764231e+01
31               	e423_0	3.9582567713e-01	1.0274478519e+02	4.9098836728e+00
32               	Bottom	1.0261338095e+01	4.3614038400e+01	3.1768113064e+01
32               	Top	1.9011644083e+00	5.0359811926e+01	2.9828335577e+01
32               	e423_0	1.2218258955e-01	1.0247542294e+02	4.8855556213e+00
33               	Bottom	4.2359226145e+00	4.4347254889e+01	3.1693596145e+01
33               	Top	6.9214227221e+00	4.8344625658e+01	2.9979094817e+01
33               	e423_0	4.3798030298e-01	1.0220439642e+02	4.8708261985e+00
34               	Bottom	6.9977991698e+00	4.5173097512e+01	3.1906131104e+01
34               	Top	5.7165106542e+00	4.6667909190e+01	3.0049707311e+01
34               	e423_0	1.1865081974e-01	1.0193126063e+02	4.8491618272e+00
35               	Bottom	1.2553990377e+01	4.5748563877e+01	3.2127759468e+01
35               	Top	3.5313057440e+00	4.5354403462e+01	3.0129682791e+01
